!
!  N YYYY MM DD  D-Ura(")  D-Nep(")  
!
 159 2009 10 20  3.618080  2.294460
 160 2009 10 21  3.616202  2.293245
 161 2009 10 22  3.614280  2.292021
 162 2009 10 23  3.612315  2.290789
 163 2009 10 24  3.610307  2.289550
 164 2009 10 25  3.608256  2.288304
 165 2009 10 26  3.606164  2.287050
 166 2009 10 27  3.604031  2.285791
 167 2009 10 28  3.601859  2.284525
 168 2009 10 29  3.599649  2.283254
 169 2009 10 30  3.597399  2.281977
 170 2009 10 31  3.595112  2.280696
 171 2009 11  1  3.592791  2.279411
 172 2009 11  2  3.590432  2.278121
 173 2009 11  3  3.588040  2.276828
 174 2009 11  4  3.585614  2.275532
 175 2009 11  5  3.583156  2.274233
 176 2009 11  6  3.580664  2.272932
 177 2009 11  7  3.578143  2.271628
 178 2009 11  8  3.575591  2.270323
 179 2009 11  9  3.573010  2.269017
 180 2009 11 10  3.570401  2.267710
 181 2009 11 11  3.567767  2.266403
 182 2009 11 12  3.565104  2.265096
 183 2009 11 13  3.562416  2.263789
 184 2009 11 14  3.559706  2.262483
 185 2009 11 15  3.556970  2.261178
 186 2009 11 16  3.554213  2.259874
 187 2009 11 17  3.551435  2.258572
 188 2009 11 18  3.548634  2.257273
 189 2009 11 19  3.545816  2.255976
 190 2009 11 20  3.542979  2.254683
 191 2009 11 21  3.540124  2.253392
 192 2009 11 22  3.537254  2.252106
 193 2009 11 23  3.534366  2.250824
 194 2009 11 24  3.531464  2.249543
 195 2009 11 25  3.528548  2.248270
 196 2009 11 26  3.525621  2.247002
 197 2009 11 27  3.522681  2.245740
 198 2009 11 28  3.519731  2.244484
 199 2009 11 29  3.516771  2.243233
 200 2009 11 30  3.513802  2.241990
 201 2009 12  1  3.510824  2.240754
 202 2009 12  2  3.507840  2.239524
 203 2009 12  3  3.504850  2.238303
 204 2009 12  4  3.501855  2.237089
 205 2009 12  5  3.498855  2.235884
 206 2009 12  6  3.495853  2.234687
 207 2009 12  7  3.492848  2.233500
 208 2009 12  8  3.489842  2.232321
 209 2009 12  9  3.486834  2.231149
 210 2009 12 10  3.483829  2.229990
 211 2009 12 11  3.480824  2.228841
 212 2009 12 12  3.477821  2.227703
 213 2009 12 13  3.474822  2.226575
 214 2009 12 14  3.471826  2.225458
 215 2009 12 15  3.468836  2.224353
 216 2009 12 16  3.465850  2.223259
 217 2009 12 17  3.462872  2.222178
 218 2009 12 18  3.459902  2.221108
 219 2009 12 19  3.456939  2.220048
 220 2009 12 20  3.453986  2.219004
 221 2009 12 21  3.451043  2.217973
 222 2009 12 22  3.448110  2.216955
 223 2009 12 23  3.445189  2.215950
 224 2009 12 24  3.442281  2.214960
 225 2009 12 25  3.439386  2.213983
 226 2009 12 26  3.436505  2.213021
 227 2009 12 27  3.433639  2.212073
 228 2009 12 28  3.430788  2.211137
 229 2009 12 29  3.427953  2.210218
 230 2009 12 30  3.425136  2.209316
 231 2009 12 31  3.422336  2.208428
 232 2010  1  1  3.419555  2.207556
 233 2010  1  2  3.416792  2.206700
 234 2010  1  3  3.414051  2.205860
 235 2010  1  4  3.411330  2.205034
 236 2010  1  5  3.408630  2.204227
 237 2010  1  6  3.405952  2.203436
 238 2010  1  7  3.403296  2.202663
 239 2010  1  8  3.400664  2.201906
 240 2010  1  9  3.398057  2.201167
 241 2010  1 10  3.395473  2.200442
 242 2010  1 11  3.392915  2.199738
 243 2010  1 12  3.390383  2.199051
 244 2010  1 13  3.387877  2.198383
 245 2010  1 14  3.385398  2.197732
 246 2010  1 15  3.382948  2.197097
 247 2010  1 16  3.380524  2.196483
 248 2010  1 17  3.378130  2.195888
 249 2010  1 18  3.375766  2.195311
 250 2010  1 19  3.373431  2.194753
 251 2010  1 20  3.371127  2.194214
 252 2010  1 21  3.368854  2.193692
 253 2010  1 22  3.366612  2.193191
 254 2010  1 23  3.364404  2.192710
 255 2010  1 24  3.362226  2.192248
 256 2010  1 25  3.360082  2.191803
 257 2010  1 26  3.357972  2.191381
 258 2010  1 27  3.355895  2.190978
 259 2010  1 28  3.353853  2.190595
 260 2010  1 29  3.351845  2.190232
 261 2010  1 30  3.349874  2.189886
 262 2010  1 31  3.347938  2.189564
 263 2010  2  1  3.346037  2.189261
 264 2010  2  2  3.344174  2.188979
 265 2010  2  3  3.342347  2.188715
 266 2010  2  4  3.340559  2.188473
 267 2010  2  5  3.338808  2.188252
 268 2010  2  6  3.337095  2.188052
 269 2010  2  7  3.335420  2.187870
