!
!  N YYYY MM DD  D-Ura(")  D-Nep(")  
!
 694 2011  4  8  3.312019  2.211840
 695 2011  4  9  3.312801  2.212762
 696 2011  4 10  3.313622  2.213696
 697 2011  4 11  3.314488  2.214646
 698 2011  4 12  3.315395  2.215609
 699 2011  4 13  3.316339  2.216583
 700 2011  4 14  3.317328  2.217573
 701 2011  4 15  3.318358  2.218576
 702 2011  4 16  3.319424  2.219588
 703 2011  4 17  3.320535  2.220616
 704 2011  4 18  3.321682  2.221656
 705 2011  4 19  3.322872  2.222704
 706 2011  4 20  3.324098  2.223767
 707 2011  4 21  3.325363  2.224842
 708 2011  4 22  3.326671  2.225924
 709 2011  4 23  3.328014  2.227020
 710 2011  4 24  3.329396  2.228127
 711 2011  4 25  3.330815  2.229243
 712 2011  4 26  3.332276  2.230367
 713 2011  4 27  3.333771  2.231503
 714 2011  4 28  3.335304  2.232649
 715 2011  4 29  3.336873  2.233803
 716 2011  4 30  3.338479  2.234964
 717 2011  5  1  3.340121  2.236136
 718 2011  5  2  3.341799  2.237316
 719 2011  5  3  3.343513  2.238504
 720 2011  5  4  3.345259  2.239696
 721 2011  5  5  3.347043  2.240899
 722 2011  5  6  3.348862  2.242108
 723 2011  5  7  3.350715  2.243325
 724 2011  5  8  3.352598  2.244544
 725 2011  5  9  3.354519  2.245773
 726 2011  5 10  3.356468  2.247007
 727 2011  5 11  3.358455  2.248247
 728 2011  5 12  3.360470  2.249491
 729 2011  5 13  3.362517  2.250738
 730 2011  5 14  3.364599  2.251992
 731 2011  5 15  3.366708  2.253250
 732 2011  5 16  3.368848  2.254511
 733 2011  5 17  3.371019  2.255776
 734 2011  5 18  3.373219  2.257045
 735 2011  5 19  3.375448  2.258313
 736 2011  5 20  3.377707  2.259586
 737 2011  5 21  3.379994  2.260861
 738 2011  5 22  3.382309  2.262138
 739 2011  5 23  3.384647  2.263417
 740 2011  5 24  3.387017  2.264696
 741 2011  5 25  3.389412  2.265976
 742 2011  5 26  3.391830  2.267256
 743 2011  5 27  3.394278  2.268537
 744 2011  5 28  3.396746  2.269814
 745 2011  5 29  3.399239  2.271093
 746 2011  5 30  3.401760  2.272371
 747 2011  5 31  3.404300  2.273648
 748 2011  6  1  3.406863  2.274923
 749 2011  6  2  3.409448  2.276196
 750 2011  6  3  3.412055  2.277466
 751 2011  6  4  3.414683  2.278733
 752 2011  6  5  3.417332  2.279997
 753 2011  6  6  3.419997  2.281258
 754 2011  6  7  3.422685  2.282514
 755 2011  6  8  3.425391  2.283766
 756 2011  6  9  3.428112  2.285014
 757 2011  6 10  3.430854  2.286256
 758 2011  6 11  3.433609  2.287493
 759 2011  6 12  3.436381  2.288724
 760 2011  6 13  3.439168  2.289949
 761 2011  6 14  3.441970  2.291167
 762 2011  6 15  3.444790  2.292379
 763 2011  6 16  3.447619  2.293583
 764 2011  6 17  3.450458  2.294779
 765 2011  6 18  3.453313  2.295968
 766 2011  6 19  3.456179  2.297148
 767 2011  6 20  3.459056  2.298320
 768 2011  6 21  3.461939  2.299482
 769 2011  6 22  3.464835  2.300638
 770 2011  6 23  3.467736  2.301781
 771 2011  6 24  3.470645  2.302914
 772 2011  6 25  3.473565  2.304036
 773 2011  6 26  3.476488  2.305148
 774 2011  6 27  3.479415  2.306248
 775 2011  6 28  3.482348  2.307337
 776 2011  6 29  3.485285  2.308413
 777 2011  6 30  3.488225  2.309478
 778 2011  7  1  3.491163  2.310532
 779 2011  7  2  3.494107  2.311571
 780 2011  7  3  3.497052  2.312596
 781 2011  7  4  3.499993  2.313608
 782 2011  7  5  3.502937  2.314606
 783 2011  7  6  3.505876  2.315589
 784 2011  7  7  3.508812  2.316558
 785 2011  7  8  3.511744  2.317514
 786 2011  7  9  3.514673  2.318452
 787 2011  7 10  3.517596  2.319375
 788 2011  7 11  3.520514  2.320281
 789 2011  7 12  3.523424  2.321171
 790 2011  7 13  3.526327  2.322045
 791 2011  7 14  3.529222  2.322904
 792 2011  7 15  3.532103  2.323744
 793 2011  7 16  3.534978  2.324565
 794 2011  7 17  3.537837  2.325369
 795 2011  7 18  3.540684  2.326158
 796 2011  7 19  3.543523  2.326925
 797 2011  7 20  3.546343  2.327674
 798 2011  7 21  3.549149  2.328403
 799 2011  7 22  3.551938  2.329114
 800 2011  7 23  3.554711  2.329807
 801 2011  7 24  3.557467  2.330478
 802 2011  7 25  3.560199  2.331129
 803 2011  7 26  3.562917  2.331759
 804 2011  7 27  3.565613  2.332372
 805 2011  7 28  3.568285  2.332961
 806 2011  7 29  3.570938  2.333529
 807 2011  7 30  3.573563  2.334076
 808 2011  7 31  3.576165  2.334604
 809 2011  8  1  3.578741  2.335107
 810 2011  8  2  3.581295  2.335588
 811 2011  8  3  3.583818  2.336048
 812 2011  8  4  3.586313  2.336487
 813 2011  8  5  3.588775  2.336902
 814 2011  8  6  3.591211  2.337293
 815 2011  8  7  3.593616  2.337662
 816 2011  8  8  3.595989  2.338010
 817 2011  8  9  3.598325  2.338332
 818 2011  8 10  3.600632  2.338631
 819 2011  8 11  3.602900  2.338906
 820 2011  8 12  3.605137  2.339161
 821 2011  8 13  3.607333  2.339388
 822 2011  8 14  3.609492  2.339592
 823 2011  8 15  3.611617  2.339775
 824 2011  8 16  3.613698  2.339930
 825 2011  8 17  3.615739  2.340062
 826 2011  8 18  3.617740  2.340169
 827 2011  8 19  3.619698  2.340255
 828 2011  8 20  3.621614  2.340313
 829 2011  8 21  3.623483  2.340347
 830 2011  8 22  3.625311  2.340356
 831 2011  8 23  3.627094  2.340344
 832 2011  8 24  3.628831  2.340304
 833 2011  8 25  3.630518  2.340240
 834 2011  8 26  3.632162  2.340151
 835 2011  8 27  3.633753  2.340041
 836 2011  8 28  3.635299  2.339903
 837 2011  8 29  3.636792  2.339741
 838 2011  8 30  3.638239  2.339554
 839 2011  8 31  3.639632  2.339346
 840 2011  9  1  3.640972  2.339111
 841 2011  9  2  3.642265  2.338852
 842 2011  9  3  3.643502  2.338569
 843 2011  9  4  3.644685  2.338265
 844 2011  9  5  3.645815  2.337934
 845 2011  9  6  3.646891  2.337580
 846 2011  9  7  3.647912  2.337202
 847 2011  9  8  3.648879  2.336804
 848 2011  9  9  3.649790  2.336379
 849 2011  9 10  3.650645  2.335932
 850 2011  9 11  3.651444  2.335461
 851 2011  9 12  3.652187  2.334971
 852 2011  9 13  3.652872  2.334456
 853 2011  9 14  3.653501  2.333918
 854 2011  9 15  3.654073  2.333358
 855 2011  9 16  3.654586  2.332776
 856 2011  9 17  3.655042  2.332176
 857 2011  9 18  3.655436  2.331551
 858 2011  9 19  3.655776  2.330905
 859 2011  9 20  3.656057  2.330238
 860 2011  9 21  3.656280  2.329553
 861 2011  9 22  3.656445  2.328845
 862 2011  9 23  3.656547  2.328117
 863 2011  9 24  3.656594  2.327369
 864 2011  9 25  3.656582  2.326601
 865 2011  9 26  3.656512  2.325814
 866 2011  9 27  3.656383  2.325011
 867 2011  9 28  3.656192  2.324186
 868 2011  9 29  3.655945  2.323343
 869 2011  9 30  3.655641  2.322481
 870 2011 10  1  3.655278  2.321602
 871 2011 10  2  3.654857  2.320705
 872 2011 10  3  3.654374  2.319794
 873 2011 10  4  3.653837  2.318863
 874 2011 10  5  3.653242  2.317915
 875 2011 10  6  3.652590  2.316951
 876 2011 10  7  3.651881  2.315972
 877 2011 10  8  3.651115  2.314976
 878 2011 10  9  3.650292  2.313969
 879 2011 10 10  3.649414  2.312944
 880 2011 10 11  3.648479  2.311904
 881 2011 10 12  3.647489  2.310850
 882 2011 10 13  3.646444  2.309782
 883 2011 10 14  3.645344  2.308701
 884 2011 10 15  3.644190  2.307606
 885 2011 10 16  3.642982  2.306499
 886 2011 10 17  3.641725  2.305383
 887 2011 10 18  3.640411  2.304252
 888 2011 10 19  3.639045  2.303109
 889 2011 10 20  3.637627  2.301955
 890 2011 10 21  3.636162  2.300790
 891 2011 10 22  3.634643  2.299615
 892 2011 10 23  3.633077  2.298430
 893 2011 10 24  3.631458  2.297235
 894 2011 10 25  3.629794  2.296031
 895 2011 10 26  3.628079  2.294818
 896 2011 10 27  3.626319  2.293596
 897 2011 10 28  3.624514  2.292366
 898 2011 10 29  3.622658  2.291129
 899 2011 10 30  3.620761  2.289888
 900 2011 10 31  3.618819  2.288636
 901 2011 11  1  3.616834  2.287378
 902 2011 11  2  3.614805  2.286114
 903 2011 11  3  3.612735  2.284844
 904 2011 11  4  3.610623  2.283569
 905 2011 11  5  3.608470  2.282289
 906 2011 11  6  3.606281  2.281005
 907 2011 11  7  3.604050  2.279717
 908 2011 11  8  3.601780  2.278424
 909 2011 11  9  3.599477  2.277129
 910 2011 11 10  3.597134  2.275830
 911 2011 11 11  3.594759  2.274529
 912 2011 11 12  3.592349  2.273226
 913 2011 11 13  3.589902  2.271922
 914 2011 11 14  3.587426  2.270616
 915 2011 11 15  3.584917  2.269308
 916 2011 11 16  3.582378  2.268001
 917 2011 11 17  3.579808  2.266693
 918 2011 11 18  3.577210  2.265386
 919 2011 11 19  3.574583  2.264079
 920 2011 11 20  3.571932  2.262773
 921 2011 11 21  3.569252  2.261468
 922 2011 11 22  3.566546  2.260166
 923 2011 11 23  3.563819  2.258865
 924 2011 11 24  3.561066  2.257564
 925 2011 11 25  3.558293  2.256269
 926 2011 11 26  3.555499  2.254977
 927 2011 11 27  3.552684  2.253689
 928 2011 11 28  3.549849  2.252404
 929 2011 11 29  3.546996  2.251125
 930 2011 11 30  3.544125  2.249849
 931 2011 12  1  3.541238  2.248579
 932 2011 12  2  3.538335  2.247315
 933 2011 12  3  3.535420  2.246056
 934 2011 12  4  3.532489  2.244803
 935 2011 12  5  3.529545  2.243557
 936 2011 12  6  3.526592  2.242315
 937 2011 12  7  3.523628  2.241083
 938 2011 12  8  3.520655  2.239858
 939 2011 12  9  3.517669  2.238641
 940 2011 12 10  3.514678  2.237433
 941 2011 12 11  3.511681  2.236233
 942 2011 12 12  3.508681  2.235041
 943 2011 12 13  3.505672  2.233856
 944 2011 12 14  3.502660  2.232684
 945 2011 12 15  3.499647  2.231521
 946 2011 12 16  3.496629  2.230368
 947 2011 12 17  3.493613  2.229226
 948 2011 12 18  3.490593  2.228094
 949 2011 12 19  3.487577  2.226974
 950 2011 12 20  3.484562  2.225862
 951 2011 12 21  3.481550  2.224764
 952 2011 12 22  3.478540  2.223678
 953 2011 12 23  3.475535  2.222605
 954 2011 12 24  3.472535  2.221544
 955 2011 12 25  3.469541  2.220492
 956 2011 12 26  3.466557  2.219457
 957 2011 12 27  3.463577  2.218434
 958 2011 12 28  3.460609  2.217426
 959 2011 12 29  3.457650  2.216431
 960 2011 12 30  3.454698  2.215447
 961 2011 12 31  3.451761  2.214481
 962 2012  1  1  3.448835  2.213528
 963 2012  1  2  3.445922  2.212591
 964 2012  1  3  3.443022  2.211666
 965 2012  1  4  3.440136  2.210759
 966 2012  1  5  3.437266  2.209867
 967 2012  1  6  3.434414  2.208991
 968 2012  1  7  3.431576  2.208128
 969 2012  1  8  3.428758  2.207285
 970 2012  1  9  3.425955  2.206457
 971 2012  1 10  3.423175  2.205643
 972 2012  1 11  3.420413  2.204849
 973 2012  1 12  3.417669  2.204072
 974 2012  1 13  3.414949  2.203311
 975 2012  1 14  3.412251  2.202566
 976 2012  1 15  3.409575  2.201840
 977 2012  1 16  3.406925  2.201133
 978 2012  1 17  3.404296  2.200440
 979 2012  1 18  3.401691  2.199768
 980 2012  1 19  3.399111  2.199115
 981 2012  1 20  3.396560  2.198477
 982 2012  1 21  3.394033  2.197861
 983 2012  1 22  3.391535  2.197263
 984 2012  1 23  3.389065  2.196681
 985 2012  1 24  3.386620  2.196121
 986 2012  1 25  3.384208  2.195580
 987 2012  1 26  3.381824  2.195056
 988 2012  1 27  3.379471  2.194553
 989 2012  1 28  3.377148  2.194071
 990 2012  1 29  3.374856  2.193605
 991 2012  1 30  3.372596  2.193162
 992 2012  1 31  3.370368  2.192739
 993 2012  2  1  3.368176  2.192333
 994 2012  2  2  3.366014  2.191950
 995 2012  2  3  3.363886  2.191584
 996 2012  2  4  3.361796  2.191241
 997 2012  2  5  3.359737  2.190919
 998 2012  2  6  3.357717  2.190615
 999 2012  2  7  3.355733  2.190334
1000 2012  2  8  3.353781  2.190073
1001 2012  2  9  3.351870  2.189831
1002 2012  2 10  3.349996  2.189612
1003 2012  2 11  3.348159  2.189411
1004 2012  2 12  3.346361  2.189234
1005 2012  2 13  3.344597  2.189075
1006 2012  2 14  3.342876  2.188939
1007 2012  2 15  3.341197  2.188825
1008 2012  2 16  3.339555  2.188729
1009 2012  2 17  3.337952  2.188656
1010 2012  2 18  3.336389  2.188602
1011 2012  2 19  3.334868  2.188572
1012 2012  2 20  3.333387  2.188560
1013 2012  2 21  3.331950  2.188571
1014 2012  2 22  3.330552  2.188604
1015 2012  2 23  3.329199  2.188655
1016 2012  2 24  3.327884  2.188729
1017 2012  2 25  3.326612  2.188822
1018 2012  2 26  3.325385  2.188938
1019 2012  2 27  3.324198  2.189072
1020 2012  2 28  3.323056  2.189229
1021 2012  2 29  3.321958  2.189405
1022 2012  3  1  3.320900  2.189603
1023 2012  3  2  3.319888  2.189820
1024 2012  3  3  3.318919  2.190059
1025 2012  3  4  3.317991  2.190316
1026 2012  3  5  3.317109  2.190596
1027 2012  3  6  3.316272  2.190896
1028 2012  3  7  3.315478  2.191214
1029 2012  3  8  3.314725  2.191554
1030 2012  3  9  3.314019  2.191911
1031 2012  3 10  3.313357  2.192290
1032 2012  3 11  3.312739  2.192687
1033 2012  3 12  3.312166  2.193105
1034 2012  3 13  3.311637  2.193540
1035 2012  3 14  3.311148  2.193997
1036 2012  3 15  3.310707  2.194470
1037 2012  3 16  3.310310  2.194965
1038 2012  3 17  3.309958  2.195476
1039 2012  3 18  3.309649  2.196008
1040 2012  3 19  3.309385  2.196559
1041 2012  3 20  3.309165  2.197125
1042 2012  3 21  3.308989  2.197713
1043 2012  3 22  3.308858  2.198315
1044 2012  3 23  3.308770  2.198938
1045 2012  3 24  3.308727  2.199576
1046 2012  3 25  3.308727  2.200234
1047 2012  3 26  3.308771  2.200907
1048 2012  3 27  3.308856  2.201600
1049 2012  3 28  3.308988  2.202307
1050 2012  3 29  3.309163  2.203034
1051 2012  3 30  3.309382  2.203777
1052 2012  3 31  3.309645  2.204534
1053 2012  4  1  3.309951  2.205309
1054 2012  4  2  3.310300  2.206099
1055 2012  4  3  3.310693  2.206906
1056 2012  4  4  3.311128  2.207727
1057 2012  4  5  3.311603  2.208566
1058 2012  4  6  3.312124  2.209420
1059 2012  4  7  3.312688  2.210286
1060 2012  4  8  3.313294  2.211170
1061 2012  4  9  3.313943  2.212065
1062 2012  4 10  3.314630  2.212978
1063 2012  4 11  3.315363  2.213902
1064 2012  4 12  3.316138  2.214843
1065 2012  4 13  3.316950  2.215797
1066 2012  4 14  3.317808  2.216762
1067 2012  4 15  3.318707  2.217743
1068 2012  4 16  3.319643  2.218737
1069 2012  4 17  3.320625  2.219741
1070 2012  4 18  3.321643  2.220761
1071 2012  4 19  3.322705  2.221789
1072 2012  4 20  3.323804  2.222833
1073 2012  4 21  3.324946  2.223888
1074 2012  4 22  3.326125  2.224951
1075 2012  4 23  3.327347  2.226029
1076 2012  4 24  3.328604  2.227118
1077 2012  4 25  3.329901  2.228214
1078 2012  4 26  3.331240  2.229324
1079 2012  4 27  3.332614  2.230443
1080 2012  4 28  3.334026  2.231570
1081 2012  4 29  3.335476  2.232709
1082 2012  4 30  3.336963  2.233857
1083 2012  5  1  3.338488  2.235012
1084 2012  5  2  3.340055  2.236178
1085 2012  5  3  3.341654  2.237352
1086 2012  5  4  3.343285  2.238534
1087 2012  5  5  3.344957  2.239722
1088 2012  5  6  3.346664  2.240919
1089 2012  5  7  3.348408  2.242124
1090 2012  5  8  3.350186  2.243336
1091 2012  5  9  3.351995  2.244551
1092 2012  5 10  3.353842  2.245776
1093 2012  5 11  3.355724  2.247006
1094 2012  5 12  3.357635  2.248242
1095 2012  5 13  3.359584  2.249481
1096 2012  5 14  3.361562  2.250727
1097 2012  5 15  3.363577  2.251978
1098 2012  5 16  3.365619  2.253234
1099 2012  5 17  3.367693  2.254493
1100 2012  5 18  3.369799  2.255756
1101 2012  5 19  3.371940  2.257020
1102 2012  5 20  3.374107  2.258289
1103 2012  5 21  3.376305  2.259561
1104 2012  5 22  3.378532  2.260836
1105 2012  5 23  3.380789  2.262112
1106 2012  5 24  3.383069  2.263390
1107 2012  5 25  3.385383  2.264667
1108 2012  5 26  3.387724  2.265947
1109 2012  5 27  3.390093  2.267228
1110 2012  5 28  3.392485  2.268509
1111 2012  5 29  3.394907  2.269790
1112 2012  5 30  3.397350  2.271071
1113 2012  5 31  3.399824  2.272350
1114 2012  6  1  3.402318  2.273629
1115 2012  6  2  3.404836  2.274906
1116 2012  6  3  3.407378  2.276181
1117 2012  6  4  3.409948  2.277454
1118 2012  6  5  3.412536  2.278725
1119 2012  6  6  3.415146  2.279992
1120 2012  6  7  3.417773  2.281256
1121 2012  6  8  3.420426  2.282517
1122 2012  6  9  3.423100  2.283773
1123 2012  6 10  3.425793  2.285025
1124 2012  6 11  3.428500  2.286272
1125 2012  6 12  3.431231  2.287514
1126 2012  6 13  3.433975  2.288751
1127 2012  6 14  3.436742  2.289981
1128 2012  6 15  3.439520  2.291206
1129 2012  6 16  3.442315  2.292423
1130 2012  6 17  3.445124  2.293634
1131 2012  6 18  3.447949  2.294837
1132 2012  6 19  3.450788  2.296033
1133 2012  6 20  3.453640  2.297220
1134 2012  6 21  3.456505  2.298399
1135 2012  6 22  3.459382  2.299570
1136 2012  6 23  3.462270  2.300730
1137 2012  6 24  3.465164  2.301882
1138 2012  6 25  3.468072  2.303023
1139 2012  6 26  3.470985  2.304155
1140 2012  6 27  3.473911  2.305278
1141 2012  6 28  3.476840  2.306387
1142 2012  6 29  3.479776  2.307486
1143 2012  6 30  3.482718  2.308572
1144 2012  7  1  3.485666  2.309646
1145 2012  7  2  3.488617  2.310708
1146 2012  7  3  3.491573  2.311757
1147 2012  7  4  3.494532  2.312796
1148 2012  7  5  3.497487  2.313819
1149 2012  7  6  3.500449  2.314827
1150 2012  7  7  3.503412  2.315822
1151 2012  7  8  3.506369  2.316801
1152 2012  7  9  3.509326  2.317769
1153 2012  7 10  3.512285  2.318719
1154 2012  7 11  3.515236  2.319654
1155 2012  7 12  3.518184  2.320572
1156 2012  7 13  3.521127  2.321474
1157 2012  7 14  3.524064  2.322363
1158 2012  7 15  3.526995  2.323232
1159 2012  7 16  3.529919  2.324084
1160 2012  7 17  3.532830  2.324918
1161 2012  7 18  3.535736  2.325737
1162 2012  7 19  3.538628  2.326536
1163 2012  7 20  3.541514  2.327316
1164 2012  7 21  3.544383  2.328077
1165 2012  7 22  3.547239  2.328823
1166 2012  7 23  3.550087  2.329546
1167 2012  7 24  3.552915  2.330250
1168 2012  7 25  3.555728  2.330934
1169 2012  7 26  3.558524  2.331600
1170 2012  7 27  3.561302  2.332244
1171 2012  7 28  3.564057  2.332867
1172 2012  7 29  3.566798  2.333472
1173 2012  7 30  3.569518  2.334053
1174 2012  7 31  3.572212  2.334612
1175 2012  8  1  3.574889  2.335151
1176 2012  8  2  3.577537  2.335670
1177 2012  8  3  3.580161  2.336164
1178 2012  8  4  3.582765  2.336636
1179 2012  8  5  3.585337  2.337088
1180 2012  8  6  3.587883  2.337515
1181 2012  8  7  3.590400  2.337919
1182 2012  8  8  3.592888  2.338303
1183 2012  8  9  3.595346  2.338661
1184 2012  8 10  3.597767  2.338996
1185 2012  8 11  3.600162  2.339310
1186 2012  8 12  3.602524  2.339597
1187 2012  8 13  3.604846  2.339860
1188 2012  8 14  3.607139  2.340100
1189 2012  8 15  3.609391  2.340318
1190 2012  8 16  3.611606  2.340510
1191 2012  8 17  3.613788  2.340677
1192 2012  8 18  3.615927  2.340823
1193 2012  8 19  3.618026  2.340942
1194 2012  8 20  3.620085  2.341036
1195 2012  8 21  3.622102  2.341108
1196 2012  8 22  3.624078  2.341153
1197 2012  8 23  3.626011  2.341174
1198 2012  8 24  3.627900  2.341173
1199 2012  8 25  3.629744  2.341145
1200 2012  8 26  3.631543  2.341092
1201 2012  8 27  3.633291  2.341017
1202 2012  8 28  3.634998  2.340915
1203 2012  8 29  3.636657  2.340789
1204 2012  8 30  3.638263  2.340641
1205 2012  8 31  3.639824  2.340465
1206 2012  9  1  3.641332  2.340266
1207 2012  9  2  3.642789  2.340043
1208 2012  9  3  3.644201  2.339798
1209 2012  9  4  3.645556  2.339526
1210 2012  9  5  3.646860  2.339231
1211 2012  9  6  3.648116  2.338914
1212 2012  9  7  3.649314  2.338571
1213 2012  9  8  3.650459  2.338205
1214 2012  9  9  3.651550  2.337818
1215 2012  9 10  3.652586  2.337405
1216 2012  9 11  3.653568  2.336969
1217 2012  9 12  3.654494  2.336510
1218 2012  9 13  3.655365  2.336032
1219 2012  9 14  3.656180  2.335528
1220 2012  9 15  3.656939  2.335002
1221 2012  9 16  3.657640  2.334456
1222 2012  9 17  3.658285  2.333886
1223 2012  9 18  3.658873  2.333294
1224 2012  9 19  3.659403  2.332680
1225 2012  9 20  3.659876  2.332049
1226 2012  9 21  3.660290  2.331393
1227 2012  9 22  3.660647  2.330716
1228 2012  9 23  3.660940  2.330020
1229 2012  9 24  3.661180  2.329305
1230 2012  9 25  3.661362  2.328568
1231 2012  9 26  3.661484  2.327811
1232 2012  9 27  3.661548  2.327035
1233 2012  9 28  3.661549  2.326242
1234 2012  9 29  3.661496  2.325428
1235 2012  9 30  3.661384  2.324594
1236 2012 10  1  3.661213  2.323743
1237 2012 10  2  3.660983  2.322874
1238 2012 10  3  3.660695  2.321990
1239 2012 10  4  3.660344  2.321085
1240 2012 10  5  3.659940  2.320164
1241 2012 10  6  3.659477  2.319225
1242 2012 10  7  3.658956  2.318271
1243 2012 10  8  3.658377  2.317303
1244 2012 10  9  3.657741  2.316316
1245 2012 10 10  3.657047  2.315314
1246 2012 10 11  3.656297  2.314297
1247 2012 10 12  3.655489  2.313265
1248 2012 10 13  3.654625  2.312219
1249 2012 10 14  3.653705  2.311162
1250 2012 10 15  3.652730  2.310088
1251 2012 10 16  3.651699  2.309001
1252 2012 10 17  3.650613  2.307901
1253 2012 10 18  3.649472  2.306789
1254 2012 10 19  3.648278  2.305664
1255 2012 10 20  3.647029  2.304527
1256 2012 10 21  3.645732  2.303382
1257 2012 10 22  3.644379  2.302223
1258 2012 10 23  3.642973  2.301053
1259 2012 10 24  3.641520  2.299873
1260 2012 10 25  3.640011  2.298684
1261 2012 10 26  3.638452  2.297484
1262 2012 10 27  3.636848  2.296276
1263 2012 10 28  3.635195  2.295058
1264 2012 10 29  3.633489  2.293833
1265 2012 10 30  3.631739  2.292602
1266 2012 10 31  3.629938  2.291361
1267 2012 11  1  3.628095  2.290113
1268 2012 11  2  3.626206  2.288858
1269 2012 11  3  3.624273  2.287596
1270 2012 11  4  3.622295  2.286329
1271 2012 11  5  3.620273  2.285056
1272 2012 11  6  3.618209  2.283778
1273 2012 11  7  3.616103  2.282495
1274 2012 11  8  3.613956  2.281208
1275 2012 11  9  3.611768  2.279917
1276 2012 11 10  3.609546  2.278622
1277 2012 11 11  3.607280  2.277324
1278 2012 11 12  3.604981  2.276023
1279 2012 11 13  3.602641  2.274720
1280 2012 11 14  3.600269  2.273415
1281 2012 11 15  3.597858  2.272109
1282 2012 11 16  3.595417  2.270801
1283 2012 11 17  3.592942  2.269492
1284 2012 11 18  3.590435  2.268183
1285 2012 11 19  3.587896  2.266874
1286 2012 11 20  3.585327  2.265565
1287 2012 11 21  3.582728  2.264257
1288 2012 11 22  3.580101  2.262950
1289 2012 11 23  3.577445  2.261645
1290 2012 11 24  3.574763  2.260341
1291 2012 11 25  3.572059  2.259040
1292 2012 11 26  3.569326  2.257741
1293 2012 11 27  3.566573  2.256446
1294 2012 11 28  3.563798  2.255154
1295 2012 11 29  3.560996  2.253863
1296 2012 11 30  3.558177  2.252578
1297 2012 12  1  3.555338  2.251299
1298 2012 12  2  3.552480  2.250024
1299 2012 12  3  3.549604  2.248754
1300 2012 12  4  3.546711  2.247490
1301 2012 12  5  3.543802  2.246232
1302 2012 12  6  3.540882  2.244980
1303 2012 12  7  3.537943  2.243735
1304 2012 12  8  3.534995  2.242494
1305 2012 12  9  3.532031  2.241263
1306 2012 12 10  3.529060  2.240040
1307 2012 12 11  3.526079  2.238824
1308 2012 12 12  3.523088  2.237617
1309 2012 12 13  3.520089  2.236419
1310 2012 12 14  3.517083  2.235227
1311 2012 12 15  3.514070  2.234047
1312 2012 12 16  3.511052  2.232877
1313 2012 12 17  3.508029  2.231716
1314 2012 12 18  3.505007  2.230566
1315 2012 12 19  3.501978  2.229423
1316 2012 12 20  3.498951  2.228295
1317 2012 12 21  3.495920  2.227177
1318 2012 12 22  3.492893  2.226071
1319 2012 12 23  3.489867  2.224976
1320 2012 12 24  3.486843  2.223891
1321 2012 12 25  3.483822  2.222821
1322 2012 12 26  3.480805  2.221763
1323 2012 12 27  3.477793  2.220719
1324 2012 12 28  3.474786  2.219684
1325 2012 12 29  3.471790  2.218666
1326 2012 12 30  3.468798  2.217662
1327 2012 12 31  3.465817  2.216671
1328 2013  1  1  3.462842  2.215692
1329 2013  1  2  3.459881  2.214730
1330 2013  1  3  3.456930  2.213783
1331 2013  1  4  3.453991  2.212848
1332 2013  1  5  3.451065  2.211931
1333 2013  1  6  3.448152  2.211029
1334 2013  1  7  3.445253  2.210140
1335 2013  1  8  3.442369  2.209270
1336 2013  1  9  3.439500  2.208416
1337 2013  1 10  3.436652  2.207575
1338 2013  1 11  3.433818  2.206754
1339 2013  1 12  3.431005  2.205949
1340 2013  1 13  3.428207  2.205158
1341 2013  1 14  3.425433  2.204388
1342 2013  1 15  3.422679  2.203634
1343 2013  1 16  3.419946  2.202896
1344 2013  1 17  3.417234  2.202178
1345 2013  1 18  3.414545  2.201477
1346 2013  1 19  3.411880  2.200793
1347 2013  1 20  3.409238  2.200129
1348 2013  1 21  3.406620  2.199480
1349 2013  1 22  3.404032  2.198854
1350 2013  1 23  3.401465  2.198245
1351 2013  1 24  3.398930  2.197653
1352 2013  1 25  3.396417  2.197083
1353 2013  1 26  3.393936  2.196529
1354 2013  1 27  3.391480  2.195998
1355 2013  1 28  3.389056  2.195486
1356 2013  1 29  3.386663  2.194990
1357 2013  1 30  3.384299  2.194518
1358 2013  1 31  3.381967  2.194062
1359 2013  2  1  3.379666  2.193629
1360 2013  2  2  3.377397  2.193214
1361 2013  2  3  3.375161  2.192821
1362 2013  2  4  3.372962  2.192446
1363 2013  2  5  3.370793  2.192094
1364 2013  2  6  3.368657  2.191760
1365 2013  2  7  3.366561  2.191449
1366 2013  2  8  3.364496  2.191159
1367 2013  2  9  3.362471  2.190887
1368 2013  2 10  3.360478  2.190639
1369 2013  2 11  3.358526  2.190408
1370 2013  2 12  3.356611  2.190201
1371 2013  2 13  3.354733  2.190013
1372 2013  2 14  3.352889  2.189848
1373 2013  2 15  3.351088  2.189701
1374 2013  2 16  3.349326  2.189578
1375 2013  2 17  3.347603  2.189473
1376 2013  2 18  3.345919  2.189392
1377 2013  2 19  3.344275  2.189329
1378 2013  2 20  3.342671  2.189290
1379 2013  2 21  3.341111  2.189269
1380 2013  2 22  3.339588  2.189270
1381 2013  2 23  3.338107  2.189293
1382 2013  2 24  3.336666  2.189335
1383 2013  2 25  3.335271  2.189401
1384 2013  2 26  3.333913  2.189484
1385 2013  2 27  3.332598  2.189591
1386 2013  2 28  3.331328  2.189716
1387 2013  3  1  3.330097  2.189864
1388 2013  3  2  3.328913  2.190030
1389 2013  3  3  3.327766  2.190219
1390 2013  3  4  3.326667  2.190426
1391 2013  3  5  3.325607  2.190655
