# Date Fnu_150GHz   Fnu_260GHz
20181007 7.401 17.622
20181008 7.396 17.612
20181009 7.391 17.601
20181010 7.387 17.590
20181029 7.276 17.326
20181030 7.269 17.310
20181031 7.262 17.293
20181101 7.255 17.277
20181102 7.248 17.260
20181103 7.241 17.243
20181104 7.234 17.226
20181105 7.227 17.209
20181106 7.219 17.191
20181107 7.212 17.173
20181119 7.119 16.953
20181120 7.111 16.934
20181121 7.103 16.915
20181122 7.095 16.896
20181123 7.087 16.876
20181124 7.079 16.857
20181125 7.071 16.838
20181126 7.063 16.819
20181127 7.055 16.799
20181128 7.047 16.780
20181204 6.998 16.664
20181205 6.990 16.645
20181206 6.982 16.625
20181207 6.974 16.606
20181208 6.966 16.587
20181209 6.958 16.568
20181210 6.950 16.549
20181211 6.942 16.530
20181212 6.934 16.511
20190114 6.699 15.951
20190115 6.693 15.937
20190116 6.687 15.924
20190117 6.682 15.910
20190118 6.676 15.897
20190119 6.670 15.884
20190120 6.665 15.871
20190121 6.660 15.858
20190122 6.654 15.846
20190123 6.649 15.833
20190129 6.621 15.765
20190130 6.616 15.755
20190131 6.612 15.745
20190201 6.608 15.735
20190202 6.604 15.725
20190203 6.600 15.716
20190204 6.596 15.706
20190205 6.592 15.697
20190206 6.589 15.689
20190211 6.572 15.650
20190212 6.569 15.643
20190213 6.566 15.636
20190214 6.564 15.630
20190215 6.561 15.623
20190216 6.559 15.618
20190217 6.556 15.612
20190218 6.554 15.607
20190219 6.552 15.602
20190220 6.550 15.597
20190304 6.535 15.562
20190305 6.535 15.561
20190306 6.535 15.560
20190307 6.534 15.560
20190308 6.534 15.560
20190309 6.534 15.560
20190310 6.535 15.560
20190311 6.535 15.561
20190312 6.535 15.562
20190313 6.536 15.563
20190319 6.542 15.577
20190320 6.543 15.581
20190321 6.545 15.584
20190322 6.546 15.588
20190323 6.548 15.592
20190324 6.550 15.597
20190325 6.552 15.601
20190326 6.554 15.606
20190327 6.556 15.611
20190906 7.469 17.784
20190907 7.469 17.786
20190908 7.469 17.786
20190909 7.470 17.787
20190910 7.470 17.787
20190911 7.469 17.786
20190912 7.469 17.786
20190912 7.469 17.786
20190913 7.469 17.785
20190914 7.468 17.783
20190915 7.467 17.781
20190916 7.466 17.779
20190917 7.465 17.777
20190918 7.464 17.774
20190919 7.463 17.770
20190920 7.461 17.767
20190921 7.460 17.763
20190922 7.458 17.758
20190923 7.456 17.754
20190924 7.454 17.749
20191007 7.413 17.651
20191008 7.409 17.641
20191009 7.404 17.631
20191010 7.400 17.621
20191011 7.395 17.610
20191012 7.391 17.599
20191013 7.386 17.588
20191014 7.381 17.576
20191015 7.376 17.564
20191016 7.371 17.552
20191017 7.366 17.539
20191018 7.360 17.527
20191019 7.355 17.514
20191020 7.349 17.500
20191021 7.344 17.487
20191022 7.338 17.473
20191023 7.332 17.459
20191028 7.301 17.385
20191029 7.294 17.369
20191030 7.288 17.354
20191031 7.281 17.338
20191101 7.274 17.321
20191102 7.267 17.305
20191103 7.260 17.289
20191104 7.253 17.272
20191105 7.246 17.255
20191106 7.239 17.238
20191107 7.232 17.221
20191108 7.225 17.203
20191109 7.217 17.186
20191110 7.210 17.168
20191111 7.202 17.150
20191112 7.195 17.132
20191113 7.187 17.114
20191208 6.987 16.638
20191209 6.979 16.619
20191210 6.971 16.600
20191211 6.963 16.580
20191212 6.955 16.561
20191213 6.947 16.542
20191214 6.939 16.523
20191215 6.931 16.504
20191216 6.923 16.485
20191217 6.915 16.467
20191218 6.907 16.448
20200108 6.754 16.082
20200109 6.747 16.066
20200110 6.741 16.051
20200111 6.734 16.035
20200112 6.728 16.020
20200113 6.721 16.005
20200114 6.715 15.990
20200115 6.709 15.976
20200116 6.703 15.962
20200117 6.697 15.947
20200118 6.691 15.933
20200119 6.686 15.920
20200120 6.680 15.906
20200121 6.674 15.893
20200128 6.638 15.807
20200129 6.633 15.796
20200130 6.629 15.784
20200131 6.624 15.774
20200201 6.620 15.763
20200202 6.615 15.753
20200203 6.611 15.743
20200204 6.607 15.733
20200211 6.581 15.671
20200212 6.578 15.664
20200213 6.575 15.656
20200214 6.572 15.649
20200215 6.569 15.642
20200216 6.566 15.636
20200217 6.564 15.629
20200218 6.561 15.623
20200225 6.547 15.589
20200226 6.545 15.585
20200227 6.544 15.582
20200228 6.542 15.579
20200229 6.541 15.576
20200301 6.540 15.573
20200302 6.539 15.571
20200303 6.538 15.569
20200310 6.536 15.563
20200311 6.536 15.563
20200312 6.536 15.564
20200313 6.536 15.565
20200314 6.537 15.566
20200315 6.538 15.567
20200316 6.538 15.569
20200317 6.539 15.571
20200806 7.376 17.564
20200807 7.381 17.576
20200808 7.386 17.587
20200809 7.391 17.598
20200810 7.395 17.609
20200811 7.400 17.620
20200812 7.404 17.631
20200813 7.408 17.641
20200814 7.412 17.651
20200815 7.416 17.660
20200816 7.420 17.669
20200817 7.424 17.678
20200818 7.428 17.687
20200819 7.431 17.695
20200820 7.434 17.703
20200821 7.438 17.711
20200822 7.441 17.718
20200823 7.444 17.725
20200824 7.446 17.732
20200825 7.449 17.738
20200826 7.452 17.744
20200827 7.454 17.749
20200828 7.456 17.755
20200829 7.458 17.759
20200830 7.460 17.764
20200831 7.462 17.768
20200901 7.463 17.772
20200902 7.465 17.776
20200903 7.466 17.779
20200904 7.467 17.781
20200905 7.468 17.784
20200906 7.469 17.786
20200907 7.470 17.788
20200908 7.471 17.789
20200909 7.471 17.790
20200910 7.471 17.790
20200911 7.471 17.791
20200912 7.471 17.790
20200913 7.471 17.790
20200914 7.471 17.789
20200915 7.470 17.788
20200916 7.469 17.786
20200917 7.469 17.784
20200918 7.468 17.782
20200919 7.466 17.779
20200920 7.465 17.776
20200921 7.464 17.773
20200922 7.462 17.769
20200923 7.460 17.765
20200924 7.458 17.760
20200925 7.456 17.755
20200926 7.454 17.750
20200927 7.452 17.744
20200928 7.449 17.738
20200929 7.447 17.732
20200930 7.444 17.725
20201001 7.441 17.718
20201002 7.438 17.711
20201003 7.435 17.703
20201004 7.431 17.695
20201005 7.428 17.687
20201006 7.424 17.678
20201020 7.359 17.524
20201021 7.354 17.511
20201022 7.348 17.497
20201023 7.342 17.484
20201024 7.336 17.470
20201025 7.331 17.455
20201026 7.324 17.441
20201027 7.318 17.426
20201028 7.312 17.411
20201029 7.306 17.396
20201030 7.299 17.381
20201031 7.293 17.365
20201101 7.286 17.349
20201102 7.279 17.333
20201103 7.272 17.317
20201110 7.223 17.198
20201111 7.215 17.181
20201112 7.208 17.163
20201113 7.200 17.145
20201114 7.193 17.127
20201115 7.185 17.109
20201116 7.177 17.090
20201117 7.170 17.072
20201117 7.170 17.072
20201118 7.162 17.054
20201119 7.154 17.035
20201120 7.146 17.016
20201121 7.138 16.997
20201122 7.130 16.979
20201123 7.122 16.960
20201124 7.114 16.941
20201208 7.001 16.670
20201209 6.993 16.651
20201210 6.985 16.632
20201211 6.976 16.612
20201212 6.968 16.593
20201213 6.960 16.574
20201214 6.952 16.555
20201215 6.944 16.536
20210112 6.739 16.046
20210113 6.732 16.031
20210114 6.726 16.016
20210115 6.720 16.001
20210116 6.713 15.986
20210117 6.707 15.972
20210118 6.701 15.957
20210119 6.696 15.943
20210120 6.690 15.930
20210121 6.684 15.916
20210122 6.678 15.903
20210123 6.673 15.890
20210124 6.667 15.877
20210125 6.662 15.864
20210126 6.657 15.852
20210209 6.595 15.704
20210210 6.591 15.695
20210211 6.588 15.687
20210212 6.584 15.679
20210213 6.581 15.671
20210214 6.578 15.663
20210215 6.575 15.656
20210216 6.572 15.649
20210217 6.569 15.642
20210218 6.566 15.636
20210219 6.564 15.630
20210220 6.561 15.624
20210221 6.559 15.618
20210222 6.557 15.613
20210223 6.555 15.608
20210309 6.538 15.567
20210310 6.537 15.567
20210311 6.537 15.566
20210312 6.537 15.566
20210313 6.537 15.566
20210314 6.537 15.567
20210315 6.538 15.567
20210316 6.538 15.568
20210317 6.539 15.570
20210318 6.539 15.571
20210319 6.540 15.573
20210320 6.541 15.575
20210321 6.542 15.578
20210322 6.543 15.581
20210323 6.544 15.584
20210525 6.834 16.274
20210526 6.841 16.291
20210527 6.849 16.308
20210528 6.856 16.326
20210529 6.863 16.343
20210530 6.871 16.361
20210531 6.878 16.378
20210601 6.886 16.396
20210708 7.174 17.082
20210709 7.181 17.100
20210710 7.188 17.117
20210920 7.470 17.788
20210921 7.469 17.785
20210922 7.468 17.782
20210923 7.466 17.779
20210924 7.465 17.775
20210925 7.463 17.771
20211026 7.341 17.481
20211027 7.335 17.467
20211028 7.329 17.453
20211029 7.323 17.438
20211030 7.317 17.423
20211031 7.311 17.408
20211101 7.304 17.393
20211102 7.298 17.378
20211116 7.198 17.140
20211117 7.191 17.122
20211118 7.183 17.104
20211119 7.175 17.086
20211120 7.167 17.067
20211121 7.160 17.049
20211122 7.152 17.030
20211123 7.144 17.011
20211124 7.136 16.992
20211125 7.128 16.973
20211126 7.120 16.954
20211127 7.112 16.935
20211128 7.104 16.916
20211129 7.096 16.897
20211130 7.088 16.878
