freq,T_b,Flux,T_RJ
Float,Float,Float,Float
GHz,K,Jy,K
Frequency,Brightness temperature,Total flux,Rayleigh-Jeans temperature
2.0,301.614,0.008384,301.566
3.0,256.2748,0.01602,256.2027
4.0,247.9945,0.02755,247.8985
5.0,239.1472,0.04151,239.0272
6.0,229.8826,0.05746,229.7386
7.0,220.5035,0.07501,220.3355
8.0,211.2989,0.09387,211.1068
9.0,202.5058,0.1138,202.2897
10.0,194.2856,0.1348,194.0455
11.0,186.7424,0.1568,186.4784
12.0,179.9178,0.1797,179.6298
13.0,173.8271,0.2037,173.5151
14.0,168.4457,0.2289,168.1097
15.0,163.72,0.2554,163.3602
16.0,159.6089,0.2832,159.225
17.0,156.0374,0.3125,155.6295
18.0,152.9465,0.3433,152.5146
19.0,150.2758,0.3757,149.8201
20.0,147.9811,0.4099,147.5014
21.0,145.9905,0.4457,145.4868
22.0,144.2857,0.4834,143.7581
23.0,142.8169,0.5228,142.2653
24.0,141.5538,0.5641,140.9782
25.0,140.4693,0.6073,139.8698
26.0,139.5357,0.6524,138.9124
27.0,138.732,0.6993,138.0847
28.0,138.045,0.7483,137.3738
29.0,137.458,0.7991,136.7628
30.0,136.9455,0.8517,136.2264
31.0,136.5059,0.9065,135.7628
32.0,136.1203,0.9629,135.3534
33.0,135.7853,1.021,134.9944
34.0,135.4944,1.082,134.6796
35.0,135.2331,1.144,134.3944
36.0,135.0021,1.208,134.1395
37.0,134.7984,1.273,133.912
38.0,134.609,1.341,133.6985
39.0,134.4356,1.41,133.5013
40.0,134.2773,1.482,133.3192
41.0,134.1291,1.555,133.1469
42.0,133.9834,1.629,132.9774
43.0,133.8461,1.706,132.8163
44.0,133.7143,1.785,132.6606
45.0,133.5855,1.864,132.5078
46.0,133.4555,1.946,132.3539
47.0,133.3247,2.029,132.1993
48.0,133.1975,2.114,132.0483
49.0,133.0723,2.2,131.8991
50.0,132.9428,2.288,131.7458
51.0,132.8076,2.377,131.5867
52.0,132.6732,2.469,131.4285
53.0,132.5396,2.562,131.271
54.0,132.4051,2.656,131.1127
55.0,132.2634,2.752,130.9471
56.0,132.1158,2.849,130.7757
57.0,131.9673,2.948,130.6033
58.0,131.8193,3.049,130.4315
59.0,131.6705,3.15,130.2589
60.0,131.5191,3.253,130.0837
61.0,131.354,3.358,129.8948
62.0,131.1862,3.464,129.7031
63.0,131.0189,3.571,129.5119
64.0,130.852,3.68,129.3212
65.0,130.684,3.79,129.1294
66.0,130.5107,3.902,128.9324
67.0,130.3283,4.015,128.7261
68.0,130.1427,4.129,128.5166
69.0,129.956,4.244,128.3062
70.0,129.7691,4.361,128.0956
71.0,129.5829,4.479,127.8855
72.0,129.394,4.598,127.6729
73.0,129.1999,4.718,127.4549
74.0,128.9958,4.841,127.227
75.0,128.7919,4.963,126.9993
76.0,128.5893,5.087,126.773
77.0,128.3867,5.213,126.5466
78.0,128.1837,5.34,126.3198
79.0,127.9801,5.467,126.0925
80.0,127.7657,5.596,125.8543
81.0,127.5475,5.726,125.6124
82.0,127.3241,5.856,125.3652
83.0,127.1033,5.989,125.1207
84.0,126.8837,6.122,124.8773
85.0,126.6639,6.257,124.6339
86.0,126.4442,6.392,124.3904
87.0,126.2245,6.528,124.147
88.0,125.9946,6.666,123.8934
89.0,125.7592,6.804,123.6343
90.0,125.5214,6.943,123.3727
91.0,125.2834,7.082,123.111
92.0,125.046,7.224,122.8499
93.0,124.8099,7.366,122.5901
94.0,124.5767,7.51,122.3331
95.0,124.3432,7.655,122.076
96.0,124.1096,7.8,121.8187
97.0,123.8666,7.946,121.5521
98.0,123.6164,8.092,121.2781
99.0,123.3666,8.239,121.0046
100.0,123.1171,8.387,120.7314
101.0,122.871,8.537,120.4617
102.0,122.6267,8.688,120.1937
103.0,122.383,8.839,119.9264
104.0,122.1396,8.992,119.6593
105.0,121.8946,9.145,119.3907
106.0,121.6485,9.299,119.121
107.0,121.3965,9.453,118.8453
108.0,121.139,9.608,118.5642
109.0,120.8829,9.763,118.2844
110.0,120.6287,9.919,118.0066
111.0,120.3755,10.08,117.7299
112.0,120.1261,10.23,117.4568
113.0,119.8768,10.39,117.1839
114.0,119.6323,10.55,116.9158
115.0,119.3878,10.72,116.6477
116.0,119.1367,10.88,116.373
117.0,118.8834,11.04,116.0961
118.0,118.6273,11.2,115.8164
119.0,118.3678,11.36,115.5333
120.0,118.1086,11.53,115.2505
121.0,117.8526,11.69,114.9709
122.0,117.5966,11.86,114.6914
123.0,117.345,12.03,114.4162
124.0,117.0955,12.19,114.1431
125.0,116.8471,12.36,113.8712
126.0,116.6026,12.53,113.6032
127.0,116.358,12.7,113.3351
128.0,116.1055,12.87,113.0591
129.0,115.8504,13.04,112.7804
130.0,115.5952,13.21,112.5017
131.0,115.3395,13.38,112.2224
132.0,115.0837,13.55,111.9432
133.0,114.8322,13.73,111.6681
134.0,114.5833,13.9,111.3958
135.0,114.3344,14.07,111.1234
136.0,114.0907,14.25,110.8562
137.0,113.8473,14.42,110.5893
138.0,113.6054,14.6,110.3239
139.0,113.368,14.77,110.063
140.0,113.1306,14.95,109.8022
141.0,112.8876,15.13,109.5357
142.0,112.639,15.31,109.2637
143.0,112.3905,15.49,108.9918
144.0,112.1457,15.66,108.7234
145.0,111.9024,15.84,108.4567
146.0,111.6591,16.02,108.1899
147.0,111.4212,16.2,107.9287
148.0,111.1845,16.38,107.6685
149.0,110.9477,16.56,107.4084
150.0,110.7168,16.75,107.1541
151.0,110.4865,16.93,106.9003
152.0,110.2561,17.12,106.6466
153.0,110.0289,17.3,106.396
154.0,109.802,17.49,106.1456
155.0,109.575,17.68,105.8952
156.0,109.3399,17.86,105.6368
157.0,109.1038,18.05,105.3773
158.0,108.8676,18.23,105.1177
159.0,108.6364,18.42,104.8631
160.0,108.4065,18.6,104.6099
161.0,108.1766,18.79,104.3566
162.0,107.9517,18.98,104.1084
163.0,107.7299,19.17,103.8633
164.0,107.5081,19.36,103.6182
165.0,107.2889,19.55,103.3757
166.0,107.0738,19.75,103.1372
167.0,106.8586,19.94,102.8986
168.0,106.6435,20.13,102.6603
169.0,106.4295,20.32,102.423
170.0,106.2155,20.52,102.1856
171.0,106.0015,20.71,101.9483
172.0,105.786,20.9,101.7096
173.0,105.5701,21.1,101.4704
174.0,105.3542,21.3,101.2312
175.0,105.1404,21.49,100.9942
176.0,104.9312,21.69,100.7618
177.0,104.7221,21.88,100.5294
178.0,104.5129,22.07,100.297
179.0,104.3111,22.27,100.072
180.0,104.1109,22.47,99.8485
181.0,103.9107,22.67,99.625
182.0,103.7117,22.87,99.4029
183.0,103.5166,23.08,99.1845
184.0,103.3214,23.28,98.9662
185.0,103.1263,23.48,98.7478
186.0,102.9299,23.68,98.5282
187.0,102.7327,23.88,98.3079
188.0,102.5356,24.08,98.0876
189.0,102.3384,24.28,97.8672
190.0,102.1417,24.49,97.6473
191.0,101.945,24.69,97.4275
192.0,101.7483,24.89,97.2076
193.0,101.5526,25.1,96.9887
194.0,101.3633,25.3,96.7763
195.0,101.174,25.51,96.5638
196.0,100.9847,25.71,96.3514
197.0,100.7976,25.92,96.1412
198.0,100.6162,26.13,95.9366
199.0,100.4348,26.33,95.7321
200.0,100.2534,26.54,95.5276
201.0,100.0743,26.75,95.3254
202.0,99.8997,26.96,95.1277
203.0,99.7251,27.18,94.93
204.0,99.5505,27.39,94.7323
205.0,99.3759,27.6,94.5347
206.0,99.2015,27.81,94.3372
207.0,99.0271,28.02,94.1398
208.0,98.8527,28.24,93.9423
209.0,98.6797,28.45,93.7463
210.0,98.5114,28.66,93.5549
211.0,98.343,28.88,93.3635
212.0,98.1747,29.09,93.1721
213.0,98.0067,29.3,92.9811
214.0,97.8446,29.52,92.796
215.0,97.6825,29.74,92.6109
216.0,97.5205,29.96,92.4258
217.0,97.3584,30.18,92.2407
218.0,97.2017,30.4,92.061
219.0,97.0465,30.62,91.8827
220.0,96.8912,30.84,91.7044
221.0,96.7359,31.06,91.5262
222.0,96.5833,31.28,91.3505
223.0,96.4337,31.5,91.178
224.0,96.2842,31.72,91.0055
225.0,96.1346,31.94,90.833
226.0,95.9851,32.17,90.6605
227.0,95.8364,32.39,90.4889
228.0,95.6877,32.62,90.3173
229.0,95.5391,32.84,90.1457
230.0,95.3904,33.07,89.9741
231.0,95.2448,33.29,89.8056
232.0,95.1022,33.52,89.6401
233.0,94.9596,33.75,89.4746
234.0,94.817,33.97,89.3091
235.0,94.6744,34.2,89.1436
236.0,94.5369,34.43,88.9832
237.0,94.4,34.66,88.8234
238.0,94.2631,34.89,88.6636
239.0,94.1262,35.12,88.5038
240.0,93.9903,35.36,88.3451
241.0,93.8591,35.59,88.191
242.0,93.7278,35.82,88.0369
243.0,93.5965,36.06,87.8827
244.0,93.4652,36.29,87.7286
245.0,93.3353,36.52,87.5759
246.0,93.2074,36.76,87.4252
247.0,93.0796,36.99,87.2745
248.0,92.9517,37.23,87.1238
249.0,92.8238,37.46,86.9731
250.0,92.6959,37.7,86.8224
251.0,92.5679,37.94,86.6716
252.0,92.4399,38.17,86.5208
253.0,92.3119,38.41,86.3701
254.0,92.1839,38.65,86.2193
255.0,92.0586,38.88,86.0711
256.0,91.9356,39.12,85.9254
257.0,91.8126,39.36,85.7797
258.0,91.6897,39.6,85.634
259.0,91.5667,39.84,85.4883
260.0,91.446,40.08,85.3448
261.0,91.3283,40.33,85.2044
262.0,91.2106,40.57,85.064
263.0,91.0929,40.81,84.9235
264.0,90.9752,41.05,84.7831
265.0,90.8585,41.3,84.6437
266.0,90.7451,41.54,84.5076
267.0,90.6317,41.79,84.3715
268.0,90.5183,42.03,84.2354
269.0,90.4049,42.28,84.0993
270.0,90.2915,42.52,83.9632
271.0,90.1783,42.77,83.8275
272.0,90.0652,43.02,83.6917
273.0,89.9521,43.26,83.556
274.0,89.839,43.51,83.4202
275.0,89.7259,43.76,83.2845
276.0,89.6119,44.0,83.1478
277.0,89.4971,44.25,83.0104
278.0,89.3822,44.5,82.8729
279.0,89.2674,44.74,82.7355
280.0,89.1526,44.99,82.5981
281.0,89.0379,45.24,82.4608
282.0,88.9284,45.49,82.3287
283.0,88.8189,45.74,82.1966
284.0,88.7093,45.98,82.0645
285.0,88.5998,46.23,81.9324
286.0,88.4903,46.48,81.8003
287.0,88.3826,46.73,81.6701
288.0,88.2778,46.99,81.5428
289.0,88.1729,47.24,81.4154
290.0,88.0681,47.49,81.288
291.0,87.9632,47.75,81.1606
292.0,87.8584,48.0,81.0333
293.0,87.7566,48.25,80.909
294.0,87.6564,48.51,80.7862
295.0,87.5561,48.77,80.6635
296.0,87.4559,49.02,80.5407
297.0,87.3556,49.28,80.418
298.0,87.2554,49.54,80.2952
299.0,87.1562,49.79,80.1736
300.0,87.0573,50.05,80.0522
301.0,86.9583,50.31,79.9308
302.0,86.8594,50.57,79.8094
303.0,86.7604,50.83,79.688
304.0,86.6615,51.09,79.5666
305.0,86.5647,51.35,79.4474
306.0,86.4682,51.6,79.3285
307.0,86.3718,51.86,79.2097
308.0,86.2753,52.12,79.0908
309.0,86.1788,52.38,78.9719
310.0,86.0824,52.64,78.853
311.0,85.9894,52.91,78.7377
312.0,85.8974,53.17,78.6233
313.0,85.8054,53.44,78.5089
314.0,85.7134,53.7,78.3945
315.0,85.6214,53.96,78.2801
316.0,85.5293,54.23,78.1657
317.0,85.4398,54.49,78.0538
318.0,85.3519,54.76,77.9437
319.0,85.2641,55.03,77.8335
320.0,85.1763,55.3,77.7234
321.0,85.0885,55.56,77.6133
322.0,85.0007,55.83,77.5031
323.0,84.9138,56.1,77.3939
324.0,84.8295,56.37,77.2872
325.0,84.7451,56.64,77.1806
326.0,84.6608,56.91,77.074
327.0,84.5765,57.18,76.9673
328.0,84.4922,57.45,76.8607
329.0,84.4078,57.72,76.7541
330.0,84.3215,57.98,76.6455
331.0,84.2347,58.25,76.5365
332.0,84.1479,58.52,76.4274
333.0,84.0611,58.79,76.3184
334.0,83.9743,59.06,76.2093
335.0,83.8874,59.33,76.1003
336.0,83.8013,59.6,75.9919
337.0,83.7176,59.87,75.886
338.0,83.6339,60.14,75.7801
339.0,83.5502,60.42,75.6742
340.0,83.4664,60.69,75.5683
341.0,83.3827,60.96,75.4624
342.0,83.299,61.23,75.3565
343.0,83.2172,61.51,75.2525
344.0,83.1373,61.78,75.1504
345.0,83.0573,62.06,75.0483
346.0,82.9774,62.33,74.9463
347.0,82.8975,62.61,74.8442
348.0,82.8175,62.89,74.7421
349.0,82.7376,63.16,74.64
350.0,82.6601,63.44,74.5404
351.0,82.5839,63.72,74.4421
352.0,82.5077,64.0,74.3438
353.0,82.4315,64.28,74.2455
354.0,82.3553,64.56,74.1472
355.0,82.279,64.84,74.0489
356.0,82.2028,65.12,73.9505
357.0,82.1282,65.4,73.8539
358.0,82.0544,65.68,73.7581
359.0,81.9807,65.96,73.6622
360.0,81.9069,66.24,73.5664
361.0,81.8331,66.52,73.4706
362.0,81.7593,66.8,73.3748
363.0,81.6856,67.08,73.2789
364.0,81.6091,67.36,73.1805
365.0,81.5302,67.64,73.0796
366.0,81.4514,67.91,72.9788
367.0,81.3726,68.19,72.878
368.0,81.2937,68.47,72.7772
369.0,81.2149,68.75,72.6764
370.0,81.1361,69.03,72.5755
371.0,81.0582,69.3,72.4757
372.0,80.9831,69.58,72.3787
373.0,80.908,69.87,72.2816
374.0,80.8328,70.15,72.1846
375.0,80.7577,70.43,72.0875
376.0,80.6826,70.71,71.9905
377.0,80.6075,70.99,71.8934
378.0,80.5323,71.27,71.7964
379.0,80.4606,71.55,71.7028
380.0,80.3895,71.84,71.6098
381.0,80.3184,72.12,71.5168
382.0,80.2473,72.41,71.4238
383.0,80.1762,72.69,71.3309
384.0,80.1051,72.98,71.2379
385.0,80.034,73.27,71.1449
386.0,79.9638,73.55,71.0529
387.0,79.8962,73.84,70.9634
388.0,79.8285,74.13,70.8739
389.0,79.7608,74.42,70.7843
390.0,79.6931,74.7,70.6948
391.0,79.6254,74.99,70.6053
392.0,79.5577,75.28,70.5158
393.0,79.49,75.57,70.4262
394.0,79.424,75.86,70.3385
395.0,79.3594,76.15,70.252
396.0,79.2947,76.44,70.1656
397.0,79.23,76.73,70.0791
398.0,79.1653,77.03,69.9927
399.0,79.1007,77.32,69.9063
400.0,79.036,77.61,69.8198
401.0,78.9713,77.9,69.7334
402.0,78.908,78.2,69.6483
403.0,78.8453,78.49,69.5639
404.0,78.7827,78.78,69.4795
405.0,78.72,79.08,69.3951
406.0,78.6573,79.37,69.3107
407.0,78.5946,79.67,69.2263
408.0,78.5319,79.96,69.1419
409.0,78.4692,80.26,69.0575
410.0,78.4086,80.55,68.9751
411.0,78.349,80.85,68.8938
412.0,78.2893,81.15,68.8125
413.0,78.2297,81.45,68.7312
414.0,78.17,81.74,68.6499
415.0,78.1104,82.04,68.5686
416.0,78.0507,82.34,68.4872
417.0,77.9911,82.64,68.4059
418.0,77.9328,82.94,68.326
419.0,77.876,83.24,68.2476
420.0,77.8192,83.54,68.1692
421.0,77.7624,83.84,68.0908
422.0,77.7056,84.15,68.0124
423.0,77.6488,84.45,67.934
424.0,77.592,84.75,67.8556
425.0,77.5352,85.05,67.7772
426.0,77.4788,85.35,67.6991
427.0,77.4244,85.66,67.6233
428.0,77.3701,85.96,67.5474
429.0,77.3158,86.27,67.4715
430.0,77.2615,86.57,67.3956
431.0,77.2071,86.88,67.3197
432.0,77.1528,87.18,67.2438
433.0,77.0985,87.49,67.168
434.0,77.0442,87.8,67.0921
435.0,76.9898,88.1,67.0162
436.0,76.9353,88.41,66.9402
437.0,76.8808,88.71,66.8643
438.0,76.8264,89.02,66.7884
439.0,76.7719,89.32,66.7124
440.0,76.7175,89.63,66.6365
441.0,76.663,89.93,66.5605
442.0,76.6086,90.24,66.4846
443.0,76.5541,90.54,66.4087
444.0,76.4997,90.85,66.3329
445.0,76.4454,91.15,66.2572
446.0,76.391,91.46,66.1814
447.0,76.3367,91.76,66.1056
448.0,76.2823,92.07,66.0299
449.0,76.2279,92.38,65.9541
450.0,76.1736,92.68,65.8784
451.0,76.1192,92.99,65.8026
452.0,76.0651,93.29,65.7271
453.0,76.0134,93.6,65.654
454.0,75.9617,93.91,65.581
455.0,75.91,94.22,65.508
456.0,75.8584,94.53,65.435
457.0,75.8067,94.84,65.362
458.0,75.755,95.15,65.2889
459.0,75.7034,95.45,65.2159
460.0,75.6517,95.76,65.1429
461.0,75.6001,96.07,65.07
462.0,75.551,96.38,64.9996
463.0,75.5019,96.7,64.9292
464.0,75.4528,97.01,64.8587
465.0,75.4036,97.32,64.7883
466.0,75.3545,97.63,64.7179
467.0,75.3054,97.95,64.6475
468.0,75.2563,98.26,64.5771
469.0,75.2071,98.57,64.5067
470.0,75.158,98.88,64.4363
471.0,75.1109,99.2,64.368
472.0,75.0642,99.51,64.3001
473.0,75.0176,99.83,64.2322
474.0,74.9709,100.1,64.1643
475.0,74.9242,100.5,64.0964
476.0,74.8776,100.8,64.0285
477.0,74.8309,101.1,63.9606
478.0,74.7843,101.4,63.8927
479.0,74.7376,101.7,63.8248
480.0,74.6915,102.0,63.7575
481.0,74.6461,102.4,63.691
482.0,74.6008,102.7,63.6245
483.0,74.5554,103.0,63.558
484.0,74.5101,103.3,63.4915
485.0,74.4648,103.6,63.425
486.0,74.4194,104.0,63.3585
487.0,74.3741,104.3,63.292
488.0,74.3287,104.6,63.2255
489.0,74.2834,104.9,63.159
490.0,74.2396,105.3,63.0941
491.0,74.1961,105.6,63.0295
492.0,74.1526,105.9,62.9649
493.0,74.1091,106.2,62.9004
494.0,74.0656,106.5,62.8358
495.0,74.0221,106.8,62.7712
496.0,73.9786,107.2,62.7067
497.0,73.9351,107.5,62.6421
498.0,73.8917,107.8,62.5775
499.0,73.8482,108.1,62.513
500.0,73.8068,108.4,62.4506
501.0,73.7653,108.8,62.3881
502.0,73.7238,109.1,62.3256
503.0,73.6824,109.4,62.2631
504.0,73.6409,109.8,62.2006
505.0,73.5994,110.1,62.1381
506.0,73.558,110.4,62.0756
507.0,73.5165,110.8,62.0131
508.0,73.475,111.1,61.9506
509.0,73.4337,111.4,61.8883
510.0,73.3942,111.7,61.8278
511.0,73.3547,112.1,61.7673
512.0,73.3152,112.4,61.7069
513.0,73.2757,112.7,61.6464
514.0,73.2362,113.0,61.586
515.0,73.1967,113.4,61.5255
516.0,73.1572,113.7,61.4651
517.0,73.1177,114.0,61.4046
518.0,73.0782,114.3,61.3441
519.0,73.0387,114.7,61.2837
520.0,73.0007,115.0,61.2249
521.0,72.9631,115.3,61.1663
522.0,72.9254,115.7,61.1077
523.0,72.8877,116.0,61.0492
524.0,72.85,116.3,60.9906
525.0,72.8123,116.7,60.932
526.0,72.7746,117.0,60.8735
527.0,72.7369,117.4,60.8149
528.0,72.6992,117.7,60.7563
529.0,72.6615,118.0,60.6977
530.0,72.6233,118.4,60.6386
531.0,72.5844,118.7,60.579
532.0,72.5455,119.0,60.5193
533.0,72.5067,119.3,60.4597
534.0,72.4678,119.6,60.4
535.0,72.4289,120.0,60.3404
536.0,72.3901,120.3,60.2807
537.0,72.3512,120.6,60.2211
538.0,72.3123,120.9,60.1614
539.0,72.2742,121.3,60.1025
540.0,72.2363,121.6,60.0438
541.0,72.1983,122.0,59.9852
542.0,72.1604,122.3,59.9265
543.0,72.1224,122.7,59.8678
544.0,72.0845,123.0,59.8091
545.0,72.0476,123.3,59.7515
546.0,72.0106,123.7,59.6939
547.0,71.9737,124.0,59.6362
548.0,71.9368,124.3,59.5787
549.0,71.9004,124.7,59.5215
550.0,71.864,125.0,59.4644
551.0,71.8278,125.3,59.4076
552.0,71.7917,125.6,59.3509
553.0,71.7559,126.0,59.2944
554.0,71.7205,126.3,59.2383
555.0,71.6849,126.6,59.1821
556.0,71.6495,127.0,59.1259
557.0,71.6858,127.5,59.1408
558.0,71.5794,127.7,59.0145
559.0,71.5445,128.0,58.9591
560.0,71.5098,128.3,58.9039
561.0,71.4754,128.7,58.8489
562.0,71.4411,129.0,58.7938
563.0,71.4067,129.3,58.7388
564.0,71.3724,129.6,58.6839
565.0,71.3385,130.0,58.6295
566.0,71.3046,130.3,58.575
567.0,71.2708,130.7,58.5206
568.0,71.2371,131.1,58.4664
569.0,71.2036,131.4,58.4123
570.0,71.1704,131.7,58.3587
571.0,71.1378,132.1,58.3055
572.0,71.1049,132.4,58.252
573.0,71.0722,132.8,58.1989
574.0,71.04,133.1,58.1461
575.0,71.0076,133.4,58.0932
576.0,70.9756,133.8,58.0406
577.0,70.9436,134.1,57.9882
578.0,70.9119,134.4,57.9359
579.0,70.88,134.8,57.8836
580.0,70.8486,135.2,57.8317
581.0,70.8173,135.5,57.7799
582.0,70.7861,135.8,57.7282
583.0,70.7551,136.2,57.6767
584.0,70.7246,136.5,57.6259
585.0,70.6944,136.9,57.5751
586.0,70.6645,137.3,57.5247
587.0,70.6347,137.6,57.4745
588.0,70.605,137.9,57.4244
589.0,70.5753,138.3,57.3743
590.0,70.5456,138.6,57.3242
591.0,70.5163,139.0,57.2744
592.0,70.4869,139.3,57.2246
593.0,70.4576,139.6,57.1749
594.0,70.4285,140.0,57.1254
595.0,70.3994,140.4,57.0759
596.0,70.3703,140.7,57.0264
597.0,70.3412,141.1,56.977
598.0,70.3125,141.4,56.9279
599.0,70.284,141.8,56.8791
600.0,70.2556,142.1,56.8303
601.0,70.2271,142.5,56.7815
602.0,70.1986,142.8,56.7326
603.0,70.1701,143.2,56.6838
604.0,70.1418,143.5,56.6351
605.0,70.1142,143.9,56.5872
606.0,70.0866,144.2,56.5393
607.0,70.059,144.6,56.4915
608.0,70.0314,144.9,56.4436
609.0,70.0039,145.3,56.3957
610.0,69.9763,145.6,56.3479
611.0,69.9487,146.0,56.3
612.0,69.9211,146.4,56.2521
613.0,69.8936,146.7,56.2043
614.0,69.8661,147.1,56.1566
615.0,69.8396,147.4,56.1098
616.0,69.8131,147.8,56.0631
617.0,69.7866,148.1,56.0163
618.0,69.76,148.5,55.9696
619.0,69.7335,148.8,55.9228
620.0,69.707,149.2,55.8761
621.0,69.6804,149.6,55.8294
622.0,69.6539,149.9,55.7826
623.0,69.6274,150.3,55.7359
624.0,69.6008,150.6,55.6891
625.0,69.5743,151.0,55.6424
626.0,69.5478,151.4,55.5956
627.0,69.5222,151.7,55.5499
628.0,69.4968,152.1,55.5044
629.0,69.4714,152.4,55.4588
630.0,69.446,152.8,55.4133
631.0,69.4205,153.2,55.3677
632.0,69.3951,153.5,55.3222
633.0,69.3697,153.9,55.2766
634.0,69.3442,154.2,55.2311
635.0,69.3188,154.6,55.1855
636.0,69.2934,155.0,55.14
637.0,69.268,155.3,55.0944
638.0,69.2425,155.7,55.0489
639.0,69.2177,156.0,55.0039
640.0,69.1939,156.4,54.96
641.0,69.17,156.7,54.9162
642.0,69.1462,157.1,54.8723
643.0,69.1224,157.5,54.8284
644.0,69.0986,157.8,54.7845
645.0,69.0747,158.2,54.7407
646.0,69.0509,158.5,54.6968
647.0,69.0271,158.9,54.6529
648.0,69.0033,159.3,54.6091
649.0,68.9794,159.6,54.5652
650.0,68.9556,160.0,54.5213
651.0,68.9318,160.4,54.4774
652.0,68.9086,160.7,54.4342
653.0,68.8859,161.1,54.3915
654.0,68.8631,161.5,54.3488
655.0,68.8404,161.8,54.3061
656.0,68.8176,162.2,54.2634
657.0,68.7948,162.6,54.2207
658.0,68.7721,162.9,54.1779
659.0,68.7493,163.3,54.1352
660.0,68.7266,163.7,54.0925
661.0,68.7038,164.0,54.0498
662.0,68.6811,164.4,54.0071
663.0,68.6583,164.8,53.9644
664.0,68.6356,165.1,53.9217
665.0,68.6133,165.5,53.8794
666.0,68.5913,165.9,53.8375
667.0,68.5693,166.3,53.7956
668.0,68.5473,166.6,53.7537
669.0,68.5253,167.0,53.7119
670.0,68.5033,167.4,53.67
671.0,68.4813,167.8,53.6281
672.0,68.4593,168.1,53.5862
673.0,68.4373,168.5,53.5443
674.0,68.4156,168.9,53.5027
675.0,68.3939,169.2,53.4613
676.0,68.3723,169.6,53.4198
677.0,68.3507,170.0,53.3784
678.0,68.3291,170.4,53.3369
679.0,68.3075,170.7,53.2955
680.0,68.2861,171.1,53.2543
681.0,68.2648,171.5,53.2132
682.0,68.2435,171.8,53.1721
683.0,68.2222,172.2,53.131
684.0,68.201,172.6,53.09
685.0,68.1799,172.9,53.049
686.0,68.1588,173.3,53.0082
687.0,68.138,173.7,52.9677
688.0,68.1172,174.0,52.9271
689.0,68.0965,174.5,52.8865
690.0,68.0759,174.8,52.8462
691.0,68.055,175.2,52.8057
692.0,68.0344,175.6,52.7653
693.0,68.0138,175.9,52.7249
694.0,67.9932,176.3,52.6846
695.0,67.9729,176.6,52.6446
696.0,67.9525,177.0,52.6046
697.0,67.9322,177.4,52.5645
698.0,67.9119,177.7,52.5245
699.0,67.8916,178.1,52.4847
700.0,67.8714,178.5,52.4448
701.0,67.8513,178.9,52.405
702.0,67.8312,179.3,52.3653
703.0,67.8112,179.6,52.3256
704.0,67.7911,180.0,52.2858
705.0,67.7711,180.4,52.2461
706.0,67.7508,180.8,52.2062
707.0,67.7304,181.1,52.1662
708.0,67.71,181.5,52.1262
709.0,67.6898,181.9,52.0864
710.0,67.6697,182.3,52.0467
711.0,67.6497,182.7,52.007
712.0,67.6296,183.0,51.9674
713.0,67.6096,183.4,51.9278
714.0,67.5896,183.8,51.8883
715.0,67.5699,184.2,51.849
716.0,67.5502,184.5,51.8097
717.0,67.5303,184.9,51.7703
718.0,67.5106,185.3,51.731
719.0,67.491,185.7,51.692
720.0,67.4715,186.0,51.6529
721.0,67.4519,186.4,51.6137
722.0,67.4323,186.8,51.5747
723.0,67.413,187.2,51.5359
724.0,67.3938,187.5,51.4972
725.0,67.3745,187.9,51.4584
726.0,67.3553,188.3,51.4197
727.0,67.3363,188.7,51.3812
728.0,67.3172,189.1,51.3426
729.0,67.2981,189.4,51.3041
730.0,67.279,189.8,51.2655
731.0,67.26,190.2,51.227
732.0,67.2412,190.6,51.1888
733.0,67.2224,190.9,51.1506
734.0,67.2037,191.3,51.1124
735.0,67.1849,191.7,51.0742
736.0,67.1661,192.1,51.0361
737.0,67.1474,192.4,50.9979
738.0,67.1286,192.8,50.9597
739.0,67.1101,193.2,50.9218
740.0,67.0916,193.6,50.8839
741.0,67.0731,193.9,50.8461
742.0,67.0546,194.3,50.8082
743.0,67.0362,194.7,50.7704
744.0,67.0179,195.1,50.7327
745.0,66.9995,195.5,50.6951
746.0,66.9813,195.9,50.6574
747.0,66.9631,196.3,50.6199
748.0,66.945,196.6,50.5824
749.0,66.9269,197.0,50.5449
750.0,66.909,197.3,50.5078
751.0,66.8911,197.7,50.4705
752.0,66.919,198.3,50.4781
753.0,66.8553,198.5,50.3962
754.0,66.8376,198.9,50.3592
755.0,66.8198,199.3,50.3221
756.0,66.8021,199.7,50.2852
757.0,66.7845,200.1,50.2483
758.0,66.767,200.5,50.2115
759.0,66.7495,200.8,50.1747
760.0,66.732,201.2,50.1379
761.0,66.7145,201.6,50.1012
762.0,66.6971,201.9,50.0645
763.0,66.6796,202.3,50.0278
764.0,66.6623,202.7,49.9913
765.0,66.645,203.1,49.9548
766.0,66.6277,203.5,49.9183
767.0,66.6104,203.9,49.8819
768.0,66.5931,204.3,49.8454
769.0,66.5759,204.6,49.8089
770.0,66.5589,205.0,49.7728
771.0,66.5419,205.4,49.7366
772.0,66.5249,205.8,49.7005
773.0,66.508,206.2,49.6643
774.0,66.491,206.6,49.6282
775.0,66.474,207.0,49.592
776.0,66.4567,207.3,49.5556
777.0,66.4395,207.7,49.5192
778.0,66.4223,208.1,49.483
779.0,66.4052,208.5,49.4467
780.0,66.3878,208.8,49.4103
781.0,66.3707,209.3,49.3741
