PROJECT: 240-13

Scan ID;#Sub.;Start Time;End Time;Source Name;Velocity (km/s);Observation Type;Opacity;Receiver;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-21.1;1;2014-02-21 00:06:29;2014-02-21 00:08:10;0851+202;0.00;Lissajous;0.35;NIKA;221.53;68.37;-1.10;-1.30;-1.50
2014-02-21.10;1;2014-02-21 00:43:45;2014-02-21 00:48:51;G12-42911;0.00;Lissajous;0.00;NIKA;151.71;49.87;-1.90;-2.40;-1.50
2014-02-21.11;1;2014-02-21 00:49:06;2014-02-21 00:54:17;G12-42911;0.00;Lissajous;0.00;NIKA;153.66;50.35;-1.90;-2.40;-1.50
2014-02-21.12;1;2014-02-21 00:54:19;2014-02-21 00:59:28;G12-42911;0.00;Lissajous;0.00;NIKA;155.60;50.79;-1.90;-2.40;-1.50
2014-02-21.13;1;2014-02-21 01:03:20;2014-02-21 01:04:50;G12-34009;0.00;track;0.00;NIKA;158.32;51.35;-1.90;-2.40;-1.50
2014-02-21.14;1;2014-02-21 01:04:53;2014-02-21 01:10:03;G12-34009;0.00;Lissajous;0.00;NIKA;156.21;49.32;-1.90;-2.40;-1.50
2014-02-21.15;1;2014-02-21 01:10:05;2014-02-21 01:15:16;G12-34009;0.00;Lissajous;0.00;NIKA;158.11;49.71;-1.90;-2.40;-1.50
2014-02-21.16;1;2014-02-21 01:15:18;2014-02-21 01:20:27;G12-34009;0.00;Lissajous;0.00;NIKA;160.06;50.08;-1.90;-2.40;-1.50
2014-02-21.17;1;2014-02-21 01:33:38;2014-02-21 01:37:13;1308+326;0.00;track;0.00;NIKA;162.78;50.53;-1.90;-2.40;-1.50
2014-02-21.18;1;2014-02-21 01:37:16;2014-02-21 01:38:53;1308+326;0.00;Lissajous;0.00;NIKA;94.76;68.09;-1.90;-2.40;-1.50
2014-02-21.19;1;2014-02-21 01:40:48;2014-02-21 01:42:58;NGP-185990;0.00;track;0.00;NIKA;95.46;68.80;-5.40;-0.60;-1.50
2014-02-21.2;1;2014-02-21 00:10:40;2014-02-21 00:12:39;G09-81106;0.00;track;0.35;NIKA;223.44;67.87;-5.00;0.20;-1.50
2014-02-21.20;1;2014-02-21 01:43:01;2014-02-21 01:48:11;NGP-185990;0.00;Lissajous;0.00;NIKA;122.88;66.67;-5.40;-0.60;-1.50
2014-02-21.21;1;2014-02-21 01:48:13;2014-02-21 01:50:48;NGP-185990;0.00;Lissajous;0.00;NIKA;125.07;67.52;-5.40;-0.60;-1.50
2014-02-21.22;1;2014-02-21 01:51:06;2014-02-21 01:56:24;NGP-185990;0.00;Lissajous;0.00;NIKA;126.23;67.96;-5.40;-0.60;-1.50
2014-02-21.23;1;2014-02-21 01:56:26;2014-02-21 02:01:35;NGP-185990;0.00;Lissajous;0.00;NIKA;128.79;68.83;-5.40;-0.60;-1.50
2014-02-21.24;1;2014-02-21 02:03:47;2014-02-21 02:05:51;NGP-190387;0.00;track;0.00;NIKA;132.04;69.82;-5.40;-0.60;-1.50
2014-02-21.25;1;2014-02-21 02:05:54;2014-02-21 02:11:03;NGP-190387;0.00;Lissajous;0.00;NIKA;114.27;65.28;-5.40;-0.60;-1.50
2014-02-21.26;1;2014-02-21 02:11:37;2014-02-21 02:16:47;NGP-190387;0.00;Lissajous;0.00;NIKA;116.23;66.30;-5.40;-0.60;-1.50
2014-02-21.27;1;2014-02-21 02:16:50;2014-02-21 02:22:00;NGP-190387;0.00;Lissajous;0.00;NIKA;118.14;67.23;-5.40;-0.60;-1.50
2014-02-21.28;1;2014-02-21 02:23:44;2014-02-21 02:25:56;1308+326;0.00;track;0.00;NIKA;120.86;68.42;-5.40;-0.60;-1.50
2014-02-21.29;1;2014-02-21 02:26:01;2014-02-21 02:27:40;1308+326;0.00;Lissajous;0.00;NIKA;108.70;77.61;-5.40;-0.60;-1.50
2014-02-21.3;1;2014-02-21 00:12:41;2014-02-21 00:17:51;G09-81106;0.00;Lissajous;0.35;NIKA;208.05;49.52;-5.00;0.20;-1.50
2014-02-21.30;1;2014-02-21 02:31:23;2014-02-21 02:34:53;1253-055;0.00;track;0.00;NIKA;110.45;78.30;-5.40;-0.60;-1.50
2014-02-21.31;1;2014-02-21 02:34:55;2014-02-21 02:36:06;1253-055;0.00;Lissajous;0.00;NIKA;168.13;46.42;-5.40;-0.60;-1.50
2014-02-21.4;1;2014-02-21 00:17:53;2014-02-21 00:23:12;G09-81106;0.00;Lissajous;0.35;NIKA;209.90;49.00;-5.00;0.20;-1.50
2014-02-21.5;1;2014-02-21 00:23:14;2014-02-21 00:28:24;G09-81106;0.00;Lissajous;0.35;NIKA;211.74;48.45;-5.00;0.20;-1.50
2014-02-21.6;1;2014-02-21 00:30:16;2014-02-21 00:32:08;0851+202;0.00;track;0.00;NIKA;214.11;47.68;-5.00;0.20;-1.50
2014-02-21.7;1;2014-02-21 00:32:45;2014-02-21 00:37:07;1253-055;0.00;track;0.00;NIKA;233.56;64.47;-5.00;0.20;-1.50
2014-02-21.8;1;2014-02-21 00:38:25;2014-02-21 00:40:11;1253-055;0.00;Lissajous;0.00;NIKA;132.67;34.85;-5.00;0.20;-1.50
2014-02-21.9;1;2014-02-21 00:41:51;2014-02-21 00:43:41;G12-42911;0.00;track;0.00;NIKA;133.51;35.34;-1.90;-2.40;-1.50
2014-02-22.221;10;2014-02-22 11:21:54;2014-02-22 11:23:52;FLS3A;0.00;onTheFlyMap;0.18;NIKA;318.77;44.87;-6.00;2.00;-2.20
2014-02-22.222;13;2014-02-22 11:24:00;2014-02-22 11:26:33;FLS3A;0.00;onTheFlyMap;0.18;NIKA;318.82;44.61;-6.00;2.00;-2.20
2014-02-22.223;10;2014-02-22 11:26:35;2014-02-22 11:28:31;FLS3A;0.00;onTheFlyMap;0.14;NIKA;318.77;44.26;-6.00;2.00;-2.20
2014-02-22.224;13;2014-02-22 11:28:35;2014-02-22 11:31:02;FLS3A;0.00;onTheFlyMap;0.14;NIKA;318.88;44.01;-6.00;2.00;-2.20
2014-02-22.225;10;2014-02-22 11:31:11;2014-02-22 11:33:08;FLS3A;0.00;onTheFlyMap;0.21;NIKA;318.80;43.67;-6.00;2.00;-2.20
2014-02-22.226;13;2014-02-22 11:33:11;2014-02-22 11:35:44;FLS3A;0.00;onTheFlyMap;0.13;NIKA;318.86;43.41;-6.00;2.00;-2.20
2014-02-22.227;10;2014-02-22 11:35:47;2014-02-22 11:37:44;FLS3A;0.00;onTheFlyMap;0.13;NIKA;318.88;43.08;-6.00;2.00;-2.20
2014-02-22.228;13;2014-02-22 11:37:46;2014-02-22 11:40:19;FLS3A;0.00;onTheFlyMap;0.00;NIKA;318.95;42.83;-6.00;2.00;-2.20
2014-02-22.229;10;2014-02-22 11:40:22;2014-02-22 11:42:18;FLS3A;0.00;onTheFlyMap;0.00;NIKA;318.88;42.48;-6.00;2.00;-2.20
2014-02-22.230;13;2014-02-22 11:42:20;2014-02-22 11:44:52;FLS3A;0.00;onTheFlyMap;0.08;NIKA;319.01;42.24;-6.00;2.00;-2.20
2014-02-22.231;10;2014-02-22 11:44:55;2014-02-22 11:46:54;FLS3A;0.00;onTheFlyMap;0.08;NIKA;318.99;41.90;-6.00;2.00;-2.20
2014-02-22.232;13;2014-02-22 11:46:55;2014-02-22 11:49:32;FLS3A;0.00;onTheFlyMap;0.08;NIKA;319.07;41.65;-6.00;2.00;-2.20
2014-02-22.233;10;2014-02-22 11:49:34;2014-02-22 11:51:31;FLS3A;0.00;onTheFlyMap;0.10;NIKA;319.01;41.29;-6.00;2.00;-2.20
2014-02-22.234;13;2014-02-22 11:52:23;2014-02-22 11:54:56;FLS3A;0.00;onTheFlyMap;0.08;NIKA;319.11;40.93;-6.00;2.00;-2.20
2014-02-22.235;10;2014-02-22 11:54:59;2014-02-22 11:56:59;FLS3A;0.00;onTheFlyMap;0.18;NIKA;319.11;40.59;-6.00;2.00;-2.20
2014-02-22.236;13;2014-02-22 11:57:02;2014-02-22 11:59:33;FLS3A;0.00;onTheFlyMap;0.18;NIKA;319.21;40.34;-6.00;2.00;-2.20
2014-02-22.237;10;2014-02-22 11:59:36;2014-02-22 12:01:33;FLS3A;0.00;onTheFlyMap;0.18;NIKA;319.25;40.01;-6.00;2.00;-2.20
2014-02-22.238;13;2014-02-22 12:01:36;2014-02-22 12:04:07;FLS3A;0.00;onTheFlyMap;0.10;NIKA;319.36;39.77;-6.00;2.00;-2.20
2014-02-22.239;10;2014-02-22 12:04:11;2014-02-22 12:06:09;FLS3A;0.00;onTheFlyMap;0.15;NIKA;319.34;39.42;-6.00;2.00;-2.20
2014-02-22.240;13;2014-02-22 12:06:12;2014-02-22 12:08:45;FLS3A;0.00;onTheFlyMap;0.15;NIKA;319.42;39.16;-6.00;2.00;-2.20
2014-02-22.241;10;2014-02-22 12:08:47;2014-02-22 12:10:44;FLS3A;0.00;onTheFlyMap;0.08;NIKA;319.49;38.83;-6.00;2.00;-2.20
2014-02-22.242;13;2014-02-22 12:12:17;2014-02-22 12:14:58;FLS3A;0.00;onTheFlyMap;0.03;NIKA;319.59;38.39;-6.00;2.00;-2.20
2014-02-22.243;10;2014-02-22 12:15:01;2014-02-22 12:17:05;FLS3A;0.00;onTheFlyMap;0.03;NIKA;319.64;38.03;-6.00;2.00;-2.20
2014-02-22.244;1;2014-02-22 12:17:59;2014-02-22 12:18:58;1633+382;0.00;track;0.02;NIKA;319.77;37.66;-6.00;2.00;-2.20
2014-02-22.245;1;2014-02-22 12:19:40;2014-02-22 12:20:46;1633+382;0.00;Lissajous;0.20;NIKA;299.28;25.38;-6.00;2.00;-2.20
2014-02-22.246;1;2014-02-22 12:23:10;2014-02-22 12:23:50;1633+382;0.00;Lissajous;0.20;NIKA;299.63;24.80;-6.00;2.00;-2.20
2014-02-22.247;1;2014-02-22 12:23:55;2014-02-22 12:24:23;1633+382;0.00;Lissajous;0.20;NIKA;299.72;24.67;-6.00;2.00;-2.50
2014-02-22.248;1;2014-02-22 12:24:25;2014-02-22 12:24:53;1633+382;0.00;Lissajous;0.20;NIKA;299.78;24.56;-6.00;2.00;-2.80
2014-02-22.249;1;2014-02-22 12:24:56;2014-02-22 12:25:27;1633+382;0.00;Lissajous;0.20;NIKA;299.83;24.48;-6.00;2.00;-3.10
2014-02-22.250;1;2014-02-22 12:25:28;2014-02-22 12:25:53;1633+382;0.00;Lissajous;0.20;NIKA;299.89;24.39;-6.00;2.00;-3.10
2014-02-22.251;1;2014-02-22 12:25:54;2014-02-22 12:26:16;1633+382;0.00;Lissajous;0.32;NIKA;299.93;24.31;-6.00;2.00;-2.80
2014-02-22.252;1;2014-02-22 12:26:25;2014-02-22 12:26:53;1633+382;0.00;Lissajous;0.32;NIKA;299.99;24.22;-6.00;2.00;-2.50
2014-02-22.253;1;2014-02-22 12:26:55;2014-02-22 12:27:23;1633+382;0.00;Lissajous;0.32;NIKA;300.04;24.13;-6.00;2.00;-2.20
2014-02-22.254;1;2014-02-22 12:27:25;2014-02-22 12:27:53;1633+382;0.00;Lissajous;0.32;NIKA;300.09;24.05;-6.00;2.00;-1.90
2014-02-22.255;1;2014-02-22 12:27:55;2014-02-22 12:28:25;1633+382;0.00;Lissajous;0.32;NIKA;300.15;23.96;-6.00;2.00;-1.60
2014-02-22.256;1;2014-02-22 12:28:27;2014-02-22 12:28:55;1633+382;0.00;Lissajous;0.32;NIKA;300.21;23.88;-6.00;2.00;-1.30
2014-02-22.257;1;2014-02-22 12:28:56;2014-02-22 12:29:19;1633+382;0.00;Lissajous;0.32;NIKA;300.25;23.79;-6.00;2.00;-1.30
2014-02-22.258;1;2014-02-22 12:29:22;2014-02-22 12:29:48;1633+382;0.00;Lissajous;0.08;NIKA;300.30;23.72;-6.00;2.00;-1.60
2014-02-22.259;1;2014-02-22 12:29:52;2014-02-22 12:30:28;1633+382;0.00;Lissajous;0.08;NIKA;300.36;23.64;-6.00;2.00;-1.90
2014-02-22.260;1;2014-02-22 12:33:51;2014-02-22 12:35:05;1637+574;0.00;track;0.10;NIKA;300.63;23.18;-6.00;2.00;-2.30
2014-02-22.261;4;2014-02-22 12:35:07;2014-02-22 12:36:11;1637+574;0.00;pointing;0.10;NIKA;320.11;31.48;-6.00;2.00;-2.30
2014-02-22.262;13;2014-02-22 12:38:47;2014-02-22 12:41:50;FLS3A;0.00;onTheFlyMap;0.20;NIKA;320.29;31.09;-6.10;2.30;-2.30
2014-02-22.263;10;2014-02-22 12:41:51;2014-02-22 12:43:48;FLS3A;0.00;onTheFlyMap;0.17;NIKA;320.64;34.65;-6.10;2.30;-2.30
2014-02-22.264;13;2014-02-22 12:43:49;2014-02-22 12:46:22;FLS3A;0.00;onTheFlyMap;0.17;NIKA;320.79;34.42;-6.10;2.30;-2.30
2014-02-22.265;10;2014-02-22 12:46:25;2014-02-22 12:48:21;FLS3A;0.00;onTheFlyMap;0.04;NIKA;320.86;34.08;-6.10;2.30;-2.30
