PROJECT: 193-13

SOURCE: NGC1569
VEL: 0.00 km/s
RA: 04:30:50
DEC: 64:50:54
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-26.320;1;2014-02-26 21:15:34;2014-02-26 21:20:43;Lissajous;0.14;330.60;52.07;-11.60;3.90;-1.70
2014-02-26.321;1;2014-02-26 21:20:47;2014-02-26 21:25:58;Lissajous;0.09;330.23;51.57;-11.60;3.90;-1.70
2014-02-26.322;1;2014-02-26 21:26:01;2014-02-26 21:31:11;Lissajous;0.09;329.92;51.06;-11.60;3.90;-1.70
2014-02-26.323;1;2014-02-26 21:31:13;2014-02-26 21:36:25;Lissajous;0.05;329.56;50.54;-11.60;3.90;-1.70
2014-02-26.324;1;2014-02-26 21:36:27;2014-02-26 21:41:37;Lissajous;0.12;329.29;50.02;-11.60;3.90;-1.70
2014-02-26.325;1;2014-02-26 21:41:39;2014-02-26 21:46:53;Lissajous;0.10;329.01;49.50;-11.60;3.90;-1.70
2014-02-26.326;1;2014-02-26 21:46:55;2014-02-26 21:52:04;Lissajous;0.15;328.72;48.97;-11.60;3.90;-1.70
2014-02-26.327;1;2014-02-26 21:52:08;2014-02-26 21:57:19;Lissajous;0.14;328.50;48.44;-11.60;3.90;-1.70
2014-02-26.328;1;2014-02-26 21:57:21;2014-02-26 22:02:32;Lissajous;0.17;328.28;47.90;-11.60;3.90;-1.70
2014-02-26.329;1;2014-02-26 22:04:02;2014-02-26 22:04:23;track;0.14;328.04;47.21;-11.60;3.90;-1.70
2014-02-26.330;16;2014-02-26 22:04:25;2014-02-26 22:07:35;onTheFlyMap;0.14;328.02;47.17;-11.60;3.90;-1.70
2014-02-26.331;16;2014-02-26 22:10:07;2014-02-26 22:13:30;onTheFlyMap;0.14;327.86;46.63;-11.60;3.90;-1.70
2014-02-26.332;16;2014-02-26 22:13:33;2014-02-26 22:16:39;onTheFlyMap;0.14;327.75;46.23;-11.60;3.90;-1.70
2014-02-26.333;16;2014-02-26 22:16:40;2014-02-26 22:19:53;onTheFlyMap;0.14;327.73;45.93;-11.60;3.90;-1.70
2014-02-26.334;16;2014-02-26 22:19:56;2014-02-26 22:23:15;onTheFlyMap;0.14;327.59;45.56;-11.60;3.90;-1.70
2014-02-26.335;16;2014-02-26 22:23:18;2014-02-26 22:26:25;onTheFlyMap;0.15;327.52;45.24;-11.60;3.90;-1.70
2014-02-26.336;16;2014-02-26 22:26:29;2014-02-26 22:29:38;onTheFlyMap;0.14;327.48;44.87;-11.60;3.90;-1.70
2014-02-26.337;16;2014-02-26 22:29:41;2014-02-26 22:32:52;onTheFlyMap;0.18;327.35;44.57;-11.60;3.90;-1.70
2014-02-26.338;16;2014-02-26 22:32:54;2014-02-26 22:35:59;onTheFlyMap;0.18;327.36;44.20;-11.60;3.90;-1.70 
