PROJECT: 226-13

Scan ID;#Sub.;Start Time;End Time;Source Name;Velocity (km/s);Observation Type;Opacity;Receiver;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-26.340;1;2014-02-26 22:49:22;2014-02-26 22:50:46;1413+135;0.00;Lissajous;0.08;NIKA;85.80;17.09;-11.60;3.90;-1.70
2014-02-26.341;1;2014-02-26 22:53:15;2014-02-26 22:53:58;GRB;0.00;track;0.23;NIKA;86.34;17.82;-7.50;-1.50;-1.70
2014-02-26.342;1;2014-02-26 22:54:00;2014-02-26 22:59:12;GRB;0.00;Lissajous;0.23;NIKA;80.78;13.10;-7.50;-1.50;-1.70
2014-02-26.343;1;2014-02-26 22:59:14;2014-02-26 23:04:24;GRB;0.00;Lissajous;0.18;NIKA;81.53;14.12;-7.50;-1.50;-1.70
2014-02-26.344;1;2014-02-26 23:04:26;2014-02-26 23:09:37;GRB;0.00;Lissajous;0.20;NIKA;82.27;15.15;-7.50;-1.50;-1.70
2014-02-26.345;1;2014-02-26 23:09:38;2014-02-26 23:14:47;GRB;0.00;Lissajous;0.20;NIKA;83.02;16.17;-7.50;-1.50;-1.70
2014-02-26.346;1;2014-02-26 23:14:50;2014-02-26 23:20:00;GRB;0.00;Lissajous;0.25;NIKA;83.77;17.20;-7.50;-1.50;-1.70
2014-02-26.347;1;2014-02-26 23:20:01;2014-02-26 23:25:14;GRB;0.00;Lissajous;0.78;NIKA;84.53;18.23;-7.50;-1.50;-1.70
2014-02-26.348;1;2014-02-26 23:25:17;2014-02-26 23:30:26;GRB;0.00;Lissajous;0.26;NIKA;85.28;19.27;-7.50;-1.50;-1.70
2014-02-26.349;1;2014-02-26 23:30:30;2014-02-26 23:35:40;GRB;0.00;Lissajous;0.25;NIKA;86.04;20.31;-7.50;-1.50;-1.70
2014-02-26.350;1;2014-02-26 23:35:42;2014-02-26 23:40:55;GRB;0.00;Lissajous;0.27;NIKA;86.81;21.34;-7.50;-1.50;-1.70
2014-02-26.351;1;2014-02-26 23:40:57;2014-02-26 23:46:05;GRB;0.00;Lissajous;0.25;NIKA;87.58;22.39;-7.50;-1.50;-1.70
2014-02-26.352;1;2014-02-26 23:46:09;2014-02-26 23:51:19;GRB;0.00;Lissajous;0.26;NIKA;88.34;23.42;-7.50;-1.50;-1.70
2014-02-26.353;1;2014-02-26 23:51:21;2014-02-26 23:56:29;GRB;0.00;Lissajous;0.29;NIKA;89.13;24.45;-7.50;-1.50;-1.70
2014-02-26.354;1;2014-02-26 23:56:32;2014-02-27 00:01:41;GRB;0.00;Lissajous;0.29;NIKA;89.90;25.49;-7.50;-1.50;-1.70
2014-02-27.1;1;2014-02-27 00:01:43;2014-02-27 00:06:46;GRB;0.00;Lissajous;0.27;NIKA;90.69;26.52;-7.50;-1.50;-1.70
2014-02-27.10;1;2014-02-27 00:51:52;2014-02-27 00:57:04;GRB;0.00;Lissajous;0.29;NIKA;98.80;36.48;-7.50;-1.50;-1.70
2014-02-27.100;1;2014-02-27 05:20:59;2014-02-27 05:21:21;1354+195;0.00;track;0.86;NIKA;236.20;62.21;-12.80;4.00;-1.60
2014-02-27.101;1;2014-02-27 05:21:23;2014-02-27 05:22:32;1354+195;0.00;Lissajous;0.86;NIKA;236.44;62.10;-12.80;4.00;-1.60
2014-02-27.102;1;2014-02-27 05:23:42;2014-02-27 05:25:01;GRB;0.00;track;0.81;NIKA;237.25;61.71;-12.70;9.70;-1.60
2014-02-27.103;1;2014-02-27 05:25:08;2014-02-27 05:30:18;GRB;0.00;Lissajous;0.81;NIKA;210.96;64.88;-12.70;9.70;-1.60
2014-02-27.104;1;2014-02-27 05:30:21;2014-02-27 05:35:30;GRB;0.00;Lissajous;0.68;NIKA;213.60;64.32;-12.70;9.70;-1.60
2014-02-27.105;1;2014-02-27 05:35:33;2014-02-27 05:40:42;GRB;0.00;Lissajous;0.77;NIKA;216.13;63.71;-12.70;9.70;-1.60
2014-02-27.106;1;2014-02-27 05:40:46;2014-02-27 05:45:55;GRB;0.00;Lissajous;0.85;NIKA;218.56;63.08;-12.70;9.70;-1.60
