PROJECT: 151-13

Scan ID;#Sub.;Start Time;End Time;Source Name;Velocity (km/s);Observation Type;Opacity;Receiver;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-23.260;1;2014-02-23 14:02:15;2014-02-23 14:03:25;0552+398;0.00;Lissajous;0.06;NIKA;416.13;23.71;-5.90;-5.50;-2.30
2014-02-23.261;1;2014-02-23 14:05:11;2014-02-23 14:15:56;L1544;7.14;Lissajous;0.21;NIKA;416.43;24.21;-4.20;-3.40;-2.30
2014-02-23.262;1;2014-02-23 14:17:31;2014-02-23 14:22:48;L1544;7.14;Lissajous;0.00;NIKA;78.60;28.78;-4.20;-3.40;-2.30
2014-02-23.263;1;2014-02-23 14:22:52;2014-02-23 14:28:01;L1544;7.14;Lissajous;0.01;NIKA;79.32;29.84;-4.20;-3.40;-2.30
2014-02-23.264;1;2014-02-23 14:28:05;2014-02-23 14:33:16;L1544;7.14;Lissajous;0.02;NIKA;80.00;30.86;-4.20;-3.40;-2.30
2014-02-23.265;1;2014-02-23 14:33:18;2014-02-23 14:38:28;L1544;7.14;Lissajous;0.02;NIKA;80.71;31.89;-4.20;-3.40;-2.30
2014-02-23.266;1;2014-02-23 14:38:30;2014-02-23 14:43:42;L1544;7.14;Lissajous;0.01;NIKA;81.37;32.92;-4.20;-3.40;-2.30
2014-02-23.267;1;2014-02-23 14:43:45;2014-02-23 14:48:57;L1544;7.14;Lissajous;0.00;NIKA;82.06;33.95;-4.20;-3.40;-2.30
2014-02-23.268;1;2014-02-23 14:48:59;2014-02-23 14:54:09;L1544;7.14;Lissajous;0.07;NIKA;82.77;34.98;-4.20;-3.40;-2.30
2014-02-23.269;1;2014-02-23 14:54:12;2014-02-23 14:59:22;L1544;7.14;Lissajous;0.01;NIKA;83.46;36.02;-4.20;-3.40;-2.30
2014-02-23.270;1;2014-02-23 14:59:26;2014-02-23 15:00:10;L1544;7.14;Lissajous;0.00;NIKA;84.16;37.05;-4.20;-3.40;-2.30
2014-02-23.271;1;2014-02-23 15:02:05;2014-02-23 15:07:34;L1544;7.14;Lissajous;0.00;NIKA;84.28;37.21;-4.20;-3.40;-2.30
2014-02-23.272;1;2014-02-23 15:07:36;2014-02-23 15:12:47;L1544;7.14;Lissajous;0.00;NIKA;85.31;38.68;-4.20;-3.40;-2.30
2014-02-23.273;1;2014-02-23 15:12:50;2014-02-23 15:18:01;L1544;7.14;Lissajous;0.01;NIKA;86.02;39.71;-4.20;-3.40;-2.30
2014-02-23.274;1;2014-02-23 15:18:04;2014-02-23 15:23:16;L1544;7.14;Lissajous;0.00;NIKA;86.74;40.76;-4.20;-3.40;-2.30
2014-02-23.275;1;2014-02-23 15:27:57;2014-02-23 15:29:13;0552+398;7.14;track;0.02;NIKA;87.78;42.20;-4.20;-3.40;-2.30
2014-02-23.276;1;2014-02-23 15:29:15;2014-02-23 15:30:24;0552+398;7.14;Lissajous;0.01;NIKA;64.91;38.90;-4.20;-3.40;-2.30
2014-02-23.277;4;2014-02-23 15:33:21;2014-02-23 15:34:42;0552+398;7.14;pointing;0.01;NIKA;65.18;39.48;-4.20;-3.40;-2.30
2014-02-23.278;1;2014-02-23 15:33:21;2014-02-23 15:42:25;Uranus;0.00;track;0.00;NIKA;65.52;40.23;0.30;-43.60;-2.30
2014-02-23.279;1;2014-02-23 15:42:50;2014-02-23 15:44:01;Uranus;0.00;Lissajous;0.01;NIKA;206.94;53.36;0.30;-43.60;-2.30
2014-02-25.181;1;2014-02-25 17:58:53;2014-02-25 18:00:03;2037+511;-8.00;Lissajous;0.34;NIKA;322.25;16.58;-11.90;-3.40;-1.50
2014-02-25.182;1;2014-02-25 18:03:02;2014-02-25 18:09:18;0430+052;-8.00;track;0.43;NIKA;322.59;16.18;-11.90;-3.40;-1.50
2014-02-25.183;1;2014-02-25 18:10:19;2014-02-25 18:11:29;0430+052;-8.00;Lissajous;0.42;NIKA;172.44;58.07;-11.90;-3.40;-1.50
2014-02-25.184;1;2014-02-25 18:10:19;2014-02-25 18:19:46;L1544;7.14;Lissajous;0.42;NIKA;173.65;58.13;-15.60;2.10;-1.50
