PROJECT: 174-13

Scan ID;#Sub.;Start Time;End Time;Source Name;Velocity (km/s);Observation Type;Opacity;Receiver;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-25.218;1;2014-02-25 20:57:49;2014-02-25 20:59:33;HD48370;5.90;track;0.44;NIKA;199.17;42.37;-13.30;3.10;-1.50
2014-02-25.219;1;2014-02-25 20:59:37;2014-02-25 21:04:47;HD48370;5.90;Lissajous;0.39;NIKA;189.21;49.59;-13.30;3.10;-1.50
2014-02-25.220;1;2014-02-25 21:04:49;2014-02-25 21:09:59;HD48370;5.90;Lissajous;0.33;NIKA;191.19;49.40;-13.30;3.10;-1.50
2014-02-25.221;1;2014-02-25 21:10:01;2014-02-25 21:15:12;HD48370;5.90;Lissajous;0.34;NIKA;193.16;49.17;-13.30;3.10;-1.50
2014-02-25.222;1;2014-02-25 21:15:16;2014-02-25 21:20:26;HD48370;5.90;Lissajous;0.27;NIKA;195.11;48.91;-13.30;3.10;-1.50
2014-02-25.223;1;2014-02-25 21:20:28;2014-02-25 21:25:37;HD48370;5.90;Lissajous;0.30;NIKA;197.04;48.62;-13.30;3.10;-1.50
2014-02-25.224;1;2014-02-25 21:25:41;2014-02-25 21:30:50;HD48370;5.90;Lissajous;0.25;NIKA;198.94;48.29;-13.30;3.10;-1.50
2014-02-25.225;1;2014-02-25 21:30:52;2014-02-25 21:36:03;HD48370;5.90;Lissajous;0.21;NIKA;200.81;47.93;-13.30;3.10;-1.50
2014-02-25.226;1;2014-02-25 21:36:04;2014-02-25 21:41:13;HD48370;5.90;Lissajous;0.24;NIKA;202.65;47.54;-13.30;3.10;-1.50
2014-02-25.227;1;2014-02-25 21:41:16;2014-02-25 21:46:26;HD48370;5.90;Lissajous;0.21;NIKA;204.46;47.12;-13.30;3.10;-1.50
2014-02-25.228;1;2014-02-25 21:46:28;2014-02-25 21:51:37;HD48370;5.90;Lissajous;0.17;NIKA;206.25;46.67;-13.30;3.10;-1.50
2014-02-25.229;1;2014-02-25 21:51:40;2014-02-25 21:56:49;HD48370;5.90;Lissajous;0.22;NIKA;208.00;46.19;-13.30;3.10;-1.50
2014-02-25.230;1;2014-02-25 21:56:52;2014-02-25 22:02:01;HD48370;5.90;Lissajous;0.20;NIKA;209.72;45.68;-13.30;3.10;-1.50
2014-02-25.231;1;2014-02-25 22:02:03;2014-02-25 22:03:30;0605-085;5.90;track;0.24;NIKA;211.40;45.15;-13.30;3.10;-1.50
2014-02-25.232;1;2014-02-25 22:03:33;2014-02-25 22:04:42;0605-085;5.90;Lissajous;0.24;NIKA;218.51;35.92;-13.30;3.10;-1.50
2014-02-25.233;1;2014-02-25 22:08:02;2014-02-25 22:12:49;0953+254;5.90;track;0.21;NIKA;219.35;35.52;-12.70;0.50;-1.50
2014-02-25.234;1;2014-02-25 22:12:52;2014-02-25 22:14:01;0953+254;5.90;Lissajous;0.15;NIKA;113.21;66.36;-12.70;0.50;-1.50 
