SCAN,FILE,SITELONG_DEG,SITELAT_DEG,SITEALT_M,OPERATOR,OBSID,PROJID,DAY,SCANNUM,OBJECT,RA_DEG,DEC_DEG,AZ_DEG,EL_DEG,PARANGLE_DEG,MJD,DATE,LST_SEC,EXPTIME,N_OBS,N_OBSP,OBSTYPE,SYSOFF,NASX_ARCSEC,NASY_ARCSEC,XOFFSET_ARCSEC,YOFFSET_ARCSEC,SWITCHMODE,FOCUSX_MM,FOCUSY_MM,FOCUSZ_MM,PRESSURE_HPA,TAMBIENT_C,REL_HUMIDITY_PERCENT,WINDVEL_MPERS,TIPTAU225GHZ,TAU1MM,TAU2MM,POWLAWAMP1MM,POWLAWAMP2MM,POWLAWEXPO1MM,POWLAWEXPO2MM,SKYNOI1MM0,SKYNOI1MM1,SKYNOI1MM2,SKYNOI1MM3,SKYNOI1MM4,SKYNOI1MM5,SKYNOI1MM6,SKYNOI1MM7,SKYNOI2MM0,SKYNOI2MM1,SKYNOI2MM2,SKYNOI2MM3,SKYNOI2MM4,SKYNOI2MM5,SKYNOI2MM6,SKYNOI2MM7,NEFD_TOI1MM,NEFD_MAP1MM,NEFD_TOI2MM,NEFD_MAP2MM,FLUX_1MM,ERR_FLUX_1MM,OFFSET_X_1MM,OFFSET_Y_1MM,FLUX_2MM,ERR_FLUX_2MM,OFFSET_X_2MM,OFFSET_Y_2MM,PIPELINEVERSION,DECORMETHOD,
20140225s0058,iram30m-antenna-20140225s58-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,232-13  ,20140225,      58,PHZG325p63,       202.61600,       1.9922778,      -175.43157,       54.795481,      -168.23245,       56713.150,2014-02-25T03:35:32.750,       49299.844,      308.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -5.80000,      2.40000,totalPower,      0.00000,      0.00000,     -1.76000,      718.600,     -9.60000,      100.000,     0.300000,     0.298813,     0.308288,       0,     0.358993,     0.107299,     -1.27095,     -1.26903,      0.00000,      17.0078,      14.1001,      4.57239,      5.56308,     0.396457,    0.0661165,    0.0440604,      0.00000,      5.03807,      4.19513,      1.32684,      1.60740,     0.119776,    0.0232310,    0.0146141,      32.0229,      41.6760,      14.8622,      17.4448,      4.86087,      1.66603,      0.00000,      0.00000,      1.09806,     0.380459,      0.00000,      0.00000,V1Liss12,LISSOPT,
20140219s0047,iram30m-antenna-20140219s47-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,234-13  ,20140219,      47,1226+023,       187.27790,       2.0523481,      -151.83508,       51.506560,      -115.14094,       56707.164,2014-02-19T03:55:45.125,       49096.215,      97.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     0.500000,    -0.500000,totalPower,      0.00000,      0.00000,     -1.50000,      717.700,     -5.00000,      97.9000,      1.20000,     0.246706,     0.369906,       0,    0.0403171,   0.00857049,     -1.14668,     -1.22817,      0.00000,      0.00000,     0.787679,     0.159243,     0.190585,    0.0793041,    0.0501284,    0.0458239,      0.00000,      0.00000,     0.222713,    0.0417917,    0.0600596,    0.0194370,   0.00922646,   0.00721739,      29.7868,      148.778,      50.3514,      410.524,      1261.64,      7.06608,      0.00000,      0.00000,      2522.66,      11.4048,      0.00000,      0.00000,V1Liss0,LISSOPT,
20140219s0048,iram30m-antenna-20140219s48-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,234-13  ,20140219,      48,HRS188,       188.68667,       7.1356667,      -148.69624,       56.301683,      -119.42727,       56707.167,2014-02-19T04:00:29.500,       49381.369,      307.125,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,    -0.900000,     0.700000,totalPower,      0.00000,      0.00000,     -1.50000,      717.700,     -4.80000,      93.5000,      2.10000,     0.187292,     0.374644,       0,    0.0367530,   0.00781194,     -1.06718,     -1.13932,      0.00000,     0.733461,     0.515923,     0.279385,     0.105317,    0.0646186,    0.0474733,    0.0437662,      0.00000,     0.219702,     0.137682,    0.0822296,    0.0348857,    0.0153043,   0.00905995,   0.00770232,      24.0101,      39.8099,      13.9033,      16.1563,      21.1217,      1.18055,      0.00000,      0.00000,      5.62549,     0.335024,      0.00000,      0.00000,V1Liss1,LISSOPT,
20140221s0232,iram30m-antenna-20140221s232-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,237-13  ,20140221,     232,0642+449,       101.63343,       44.854607,      -62.133083,       64.287278,      -49.741737,       56709.962,2014-02-21T23:04:49.750,       32302.703,      68.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.20000,      1.70000,totalPower,      0.00000,      0.00000,     -2.00000,      720.300,     -5.60000,      8.90000,      1.90000,    0.0988940,     0.112960,       0,    0.0669812,    0.0199504,     -1.15344,     -1.17175,      0.00000,      0.00000,      0.00000,     0.749020,     0.603940,    0.0775195,    0.0425107,    0.0360462,      0.00000,      0.00000,      0.00000,     0.241395,     0.191548,    0.0210941,    0.0112902,   0.00946869,      16.2068,      30.3722,      14.8797,      59.5195,      263.195,      1.56414,      0.00000,      0.00000,      423.201,      1.48536,      0.00000,      0.00000,V1Liss2,LISSOPT,
20140222s0005,iram30m-antenna-20140222s5-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,237-13  ,20140222,       5,0716+714,       110.47279,       71.343442,      -18.736459,       50.045741,      -14.864388,       56710.007,2014-02-22T00:09:45.125,       36208.740,      66.2500,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -2.50000,      2.10000,totalPower,      0.00000,      0.00000,     -2.00000,      720.400,     -6.70000,      19.1000,      3.40000,     0.117160,     0.181674,       0,     0.107859,    0.0238708,     -1.29860,     -1.34835,      0.00000,      0.00000,      0.00000,     0.849931,      1.28918,     0.165541,    0.0698375,    0.0494129,      0.00000,      0.00000,      0.00000,     0.228793,     0.279500,    0.0351959,    0.0180795,    0.0126490,      21.8283,      81.7597,      26.2087,      143.768,      715.302,      4.37255,      0.00000,      0.00000,      994.021,      4.76163,      0.00000,      0.00000,V1Liss3,LISSOPT,
20140222s0095,iram30m-antenna-20140222s95-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,237-13  ,20140222,      95,1156+295,       179.88264,       29.245447,      -89.744269,       53.529890,      -65.691738,       56710.206,2014-02-22T04:57:13.375,       53504.215,      68.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -3.10000,      2.40000,totalPower,      0.00000,      0.00000,     -1.80000,      720.300,     -8.70000,      41.7000,      3.90000,    0.0804710,     0.142018,       0,     0.110040,    0.0297803,     -1.19797,     -1.21155,      0.00000,      0.00000,      0.00000,      1.48707,     0.794432,    0.0781411,    0.0384932,    0.0389401,      0.00000,      0.00000,      0.00000,     0.427805,     0.228802,    0.0243061,   0.00893951,   0.00906750,      17.6302,      39.6880,      16.9523,      66.1657,      410.336,      2.34297,      0.00000,      0.00000,      480.667,      2.00664,      0.00000,      0.00000,V1Liss6,LISSOPT,
20140220s0070,iram30m-antenna-20140220s70-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,237-13  ,20140220,      70,1253-055,       194.04654,      -5.7893597,      -155.69775,       44.104040,      -102.83647,       56708.180,2014-02-20T04:19:35.125,       50766.679,      79.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -5.70000,     -2.50000,totalPower,      0.00000,      0.00000,     -1.50000,      723.200,     -1.80000,      16.7000,      2.90000,     0.109801,     0.166192,       0,     0.242345,    0.0453227,     -1.21779,     -1.21806,      0.00000,      0.00000,      3.75052,      1.16820,      2.16539,     0.349796,     0.164091,     0.110393,      0.00000,      0.00000,     0.712110,     0.216154,     0.388795,    0.0635701,    0.0325775,    0.0211669,      69.2511,      678.805,      177.680,      1715.34,      3220.32,      8.93734,      0.00000,      0.00000,      9850.49,      18.8830,      0.00000,      0.00000,V1Liss7,LISSOPT,
20140219s0055,iram30m-antenna-20140219s55-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,237-13  ,20140219,      55,1308+326,       197.61941,       32.345450,      -104.63989,       75.571602,      -93.372601,       56707.191,2014-02-19T04:34:43.250,       51440.742,      97.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,    -0.900000,     0.700000,totalPower,      0.00000,      0.00000,     -1.50000,      717.800,     -5.10000,      91.5000,      1.20000,     0.108539,     0.355991,       0,    0.0359074,   0.00658312,     -1.04696,     -1.19725,      0.00000,      0.00000,     0.377512,     0.124156,     0.184086,    0.0528739,    0.0399189,    0.0394709,      0.00000,      0.00000,     0.120572,    0.0348912,    0.0614351,    0.0106296,   0.00719150,   0.00942322,      27.0946,      55.1020,      18.5292,      89.7648,      318.429,      5.00851,      0.00000,      0.00000,      123.110,      2.88639,      0.00000,      0.00000,V1Liss8,LISSOPT,
20140222s0147,iram30m-antenna-20140222s147-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,237-13  ,20140222,     147,1633+382,       248.81452,       38.134562,      -80.425582,       75.491404,      -70.474994,       56710.329,2014-02-22T07:53:47.000,       64126.844,      67.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -1.90000,      1.30000,totalPower,      0.00000,      0.00000,     -2.20000,      721.400,     -8.70000,      42.1000,      3.80000,     0.106756,    0.0922250,       0,    0.0613537,    0.0136316,     -1.24823,     -1.28260,      0.00000,      0.00000,      0.00000,     0.926133,     0.216684,     0.102499,    0.0526920,    0.0424785,      0.00000,      0.00000,      0.00000,     0.239042,    0.0520329,    0.0233934,    0.0119012,   0.00983179,      23.3801,      116.051,      38.1774,      235.465,      348.226,      2.15894,      0.00000,      0.00000,      606.891,      2.90227,      0.00000,      0.00000,V1Liss10,LISSOPT,
20140220s0060,iram30m-antenna-20140220s60-imb.fits,      -3.3987564,       37.068413,       2851.5000,1stNIKApool,1stNIKApool,239-13  ,20140220,      60,1354+195,       209.26846,       19.318681,       145.16091,       69.097099,       131.05039,       56708.140,2014-02-20T03:21:38.750,       47280.786,      98.1250,       1,       1,Lissajous,Nasmyth        ,      0.00000,      0.00000,     -4.40000,     -1.10000,totalPower,      0.00000,      0.00000,     -1.58000,      723.300,     -2.60000,      25.1000,      3.50000,     0.231076,     0.191304,       0,     0.129133,    0.0366389,     -1.27925,     -1.28263,      0.00000,      0.00000,      1.88934,      2.71650,     0.912395,     0.192157,    0.0420482,    0.0353206,      0.00000,      0.00000,     0.534924,     0.788002,     0.269145,    0.0548860,    0.0100040,   0.00969862,      21.5703,      86.6011,      22.4644,      91.1873,      337.366,      1.58075,      0.00000,      0.00000,      562.313,      1.74768,      0.00000,      0.00000,V1Liss0,LISSOPT,
