DAY , SCANNUM , OBJECT , OPERATOR , OBSID , PROJID , RA_DEG , DEC_DEG , AZ_DEG , EL_DEG , PARANGLE_DEG , MJD , DATE , LST_SEC , EXPTIME , NIKA_TOBS , N_OBS , N_OBSP , OBSTYPE , POLAR , SYSOFF , NASX_ARCSEC , NASY_ARCSEC , XOFFSET_ARCSEC , YOFFSET_ARCSEC , SWITCHMODE , FOCUSX_MM , FOCUSY_MM , FOCUSZ_MM , PRESSURE_HPA , TAMBIENT_C , REL_HUMIDITY_PERCENT , WINDVEL_MPERS , TIPTAU225GHZ , TAU1MM , TAU2MM , DIR , FILE , POWLAWAMP1MM , POWLAWAMP2MM , POWLAWEXPO1MM , POWLAWEXPO2MM , SKYNOI1MM0 , SKYNOI1MM1 , SKYNOI1MM2 , SKYNOI1MM3 , SKYNOI1MM4 , SKYNOI1MM5 , SKYNOI1MM6 , SKYNOI1MM7 , SKYNOI2MM0 , SKYNOI2MM1 , SKYNOI2MM2 , SKYNOI2MM3 , SKYNOI2MM4 , SKYNOI2MM5 , SKYNOI2MM6 , SKYNOI2MM7
20150210 ,      218 , 3C84 , Pako ,  , t21 ,        49.950642 ,        41.511711 ,       -68.252444 ,        54.718256 ,       -51.525401 ,        57063.885 , 2015-02-10T21:14:41.125 ,        23015.923 ,       60.0000 ,       0.00000 ,        1 ,        1 , track ,        0 , Nasmyth         ,      -4.40000 ,       18.0000 ,       0.00000 ,       0.00000 , totalPower ,       0.00000 ,       0.00000 ,      -1.30000 ,       718.000 ,      -6.50000 ,       93.9000 ,       1.20000 ,      0.348064 ,      -32768.0 ,      -32768.0 , /home/archeops/NIKA/Data/AntennaImbfits , iram30m-antenna-20150210s218-imb.fits ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000
20150210 ,      219 , 3C84 , Pako ,  , t21 ,        49.950642 ,        41.511711 ,       -68.129758 ,        54.451762 ,       -51.369760 ,        57063.886 , 2015-02-10T21:16:18.500 ,        23113.564 ,       77.3750 ,       0.00000 ,        1 ,        1 , Lissajous ,        0 , Nasmyth         ,      -4.40000 ,       18.0000 ,       0.00000 ,       0.00000 , totalPower ,       0.00000 ,       0.00000 ,      -1.30000 ,       718.000 ,      -6.60000 ,       94.0000 ,      0.700000 ,      0.366746 ,      -32768.0 ,      -32768.0 , /home/archeops/NIKA/Data/AntennaImbfits , iram30m-antenna-20150210s219-imb.fits ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000
20150210 ,      220 , 3C84 , Pako ,  , t21 ,        49.950642 ,        41.511711 ,       -68.061196 ,        54.181572 ,       -51.252099 ,        57063.887 , 2015-02-10T21:17:46.000 ,        23201.304 ,       77.5000 ,       0.00000 ,        1 ,        1 , Lissajous ,        0 , Nasmyth         ,      -4.40000 ,       18.0000 ,       0.00000 ,       0.00000 , totalPower ,       0.00000 ,       0.00000 ,      -1.90000 ,       718.000 ,      -6.70000 ,       94.6000 ,      0.800000 ,      0.366746 ,      -32768.0 ,      -32768.0 , /home/archeops/NIKA/Data/AntennaImbfits , iram30m-antenna-20150210s220-imb.fits ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000
20150210 ,      221 , 3C84 , Pako ,  , t21 ,        49.950642 ,        41.511711 ,       -67.990381 ,        53.906879 ,       -51.132870 ,        57063.888 , 2015-02-10T21:19:14.875 ,        23290.422 ,       77.6250 ,       0.00000 ,        1 ,        1 , Lissajous ,        0 , Nasmyth         ,      -4.40000 ,       18.0000 ,       0.00000 ,       0.00000 , totalPower ,       0.00000 ,       0.00000 ,      -2.50000 ,       718.000 ,      -6.70000 ,       96.8000 ,      0.700000 ,      0.341894 ,      -32768.0 ,      -32768.0 , /home/archeops/NIKA/Data/AntennaImbfits , iram30m-antenna-20150210s221-imb.fits ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000
20150210 ,      222 , 3C84 , Pako ,  , t21 ,        49.950642 ,        41.511711 ,       -67.917177 ,        53.627305 ,       -51.011580 ,        57063.889 , 2015-02-10T21:20:45.375 ,        23381.170 ,       77.7500 ,       0.00000 ,        1 ,        1 , Lissajous ,        0 , Nasmyth         ,      -4.40000 ,       18.0000 ,       0.00000 ,       0.00000 , totalPower ,       0.00000 ,       0.00000 ,     -0.700000 ,       718.000 ,      -6.70000 ,       96.8000 ,       1.10000 ,      0.341894 ,      -32768.0 ,      -32768.0 , /home/archeops/NIKA/Data/AntennaImbfits , iram30m-antenna-20150210s222-imb.fits ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000
20150210 ,      223 , 3C84 , Pako ,  , t21 ,        49.950642 ,        41.511711 ,       -67.844126 ,        53.352506 ,       -50.893259 ,        57063.890 , 2015-02-10T21:22:14.375 ,        23470.414 ,       77.5000 ,       0.00000 ,        1 ,        1 , Lissajous ,        0 , Nasmyth         ,      -4.40000 ,       18.0000 ,       0.00000 ,       0.00000 , totalPower ,       0.00000 ,       0.00000 ,     -0.100000 ,       718.000 ,      -6.80000 ,       98.5000 ,       1.10000 ,      0.341894 ,      -32768.0 ,      -32768.0 , /home/archeops/NIKA/Data/AntennaImbfits , iram30m-antenna-20150210s223-imb.fits ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000
20150210 ,      224 , 3C84 , 3rdNIKAPool , 3rdNIKAPool , t21 ,        49.950667 ,        41.511696 ,       -67.242841 ,        51.223276 ,       -49.989239 ,        57063.898 , 2015-02-10T21:33:45.625 ,        24163.556 ,       77.5000 ,       0.00000 ,        1 ,        1 , Lissajous ,        0 , Nasmyth         ,      -4.40000 ,       18.0000 ,       0.00000 ,       0.00000 , totalPower ,       0.00000 ,       0.00000 ,      -1.30000 ,       718.000 ,      -7.10000 ,       99.9000 ,       1.10000 ,      0.331276 ,      -32768.0 ,      -32768.0 , /home/archeops/NIKA/Data/AntennaImbfits , iram30m-antenna-20150210s224-imb.fits ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000
20150210 ,      225 , 3C84 , 3rdNIKAPool , 3rdNIKAPool , t21 ,        49.950667 ,        41.511696 ,       -67.115156 ,        50.796647 ,       -49.811800 ,        57063.900 , 2015-02-10T21:36:04.375 ,        24302.686 ,       77.6250 ,       0.00000 ,        1 ,        1 , Lissajous ,        0 , Nasmyth         ,      -4.40000 ,       18.0000 ,       0.00000 ,       0.00000 , totalPower ,       0.00000 ,       0.00000 ,      -1.30000 ,       718.000 ,      -7.10000 ,       99.9000 ,       1.20000 ,      0.331276 ,      -32768.0 ,      -32768.0 , /home/archeops/NIKA/Data/AntennaImbfits , iram30m-antenna-20150210s225-imb.fits ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000
20150210 ,      226 , 3C84 , 3rdNIKAPool , 3rdNIKAPool , t21 ,        49.950667 ,        41.511696 ,       -67.033934 ,        50.529201 ,       -49.701098 ,        57063.901 , 2015-02-10T21:37:31.625 ,        24390.175 ,       77.7500 ,       0.00000 ,        1 ,        1 , Lissajous ,        0 , Nasmyth         ,      -4.40000 ,       18.0000 ,       0.00000 ,       0.00000 , totalPower ,       0.00000 ,       0.00000 ,      -1.90000 ,       718.000 ,      -7.10000 ,       99.9000 ,       1.20000 ,      0.331276 ,      -32768.0 ,      -32768.0 , /home/archeops/NIKA/Data/AntennaImbfits , iram30m-antenna-20150210s226-imb.fits ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000
20150210 ,      227 , 3C84 , 3rdNIKAPool , 3rdNIKAPool , t21 ,        49.950667 ,        41.511696 ,       -66.951866 ,        50.261917 ,       -49.590865 ,        57063.902 , 2015-02-10T21:38:58.750 ,        24477.539 ,       77.7500 ,       0.00000 ,        1 ,        1 , Lissajous ,        0 , Nasmyth         ,      -4.40000 ,       18.0000 ,       0.00000 ,       0.00000 , totalPower ,       0.00000 ,       0.00000 ,      -2.50000 ,       718.000 ,      -7.10000 ,       100.000 ,       1.00000 ,      0.338926 ,      -32768.0 ,      -32768.0 , /home/archeops/NIKA/Data/AntennaImbfits , iram30m-antenna-20150210s227-imb.fits ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000 ,       0.00000
