PROJECT: 173-13

Scan ID;#Sub.;Start Time;End Time;Source Name;Velocity (km/s);Observation Type;Opacity;Receiver;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-19.233;1;2014-02-19 14:43:06;2014-02-19 14:44:52;0336-019;0.00;Lissajous;0.21;NIKA;119.48;30.93;0.60;-6.40;-1.20
2014-02-19.234;1;2014-02-19 14:50:10;2014-02-19 14:55:55;Epsi_Eri;0.00;Lissajous;0.14;NIKA;120.29;31.59;-2.20;-2.30;-1.20
2014-02-19.235;1;2014-02-19 14:55:56;2014-02-19 15:01:05;Epsi_Eri;0.00;Lissajous;0.14;NIKA;129.48;28.35;-2.20;-2.30;-1.20
2014-02-19.236;1;2014-02-19 15:01:08;2014-02-19 15:06:16;Epsi_Eri;0.00;Lissajous;0.01;NIKA;130.63;29.14;-2.20;-2.30;-1.20
2014-02-19.237;1;2014-02-19 15:06:19;2014-02-19 15:11:29;Epsi_Eri;0.00;Lissajous;0.08;NIKA;131.80;29.91;-2.20;-2.30;-1.20
2014-02-19.238;1;2014-02-19 15:11:31;2014-02-19 15:16:41;Epsi_Eri;0.00;Lissajous;0.08;NIKA;133.00;30.68;-2.20;-2.30;-1.20
2014-02-19.239;1;2014-02-19 15:16:43;2014-02-19 15:21:52;Epsi_Eri;0.00;Lissajous;0.12;NIKA;134.22;31.42;-2.20;-2.30;-1.20
2014-02-19.240;1;2014-02-19 15:21:55;2014-02-19 15:27:04;Epsi_Eri;0.00;Lissajous;0.07;NIKA;135.45;32.15;-2.20;-2.30;-1.20
2014-02-19.241;1;2014-02-19 15:27:06;2014-02-19 15:32:16;Epsi_Eri;0.00;Lissajous;0.09;NIKA;136.72;32.86;-2.20;-2.30;-1.20
2014-02-19.242;1;2014-02-19 15:32:17;2014-02-19 15:37:27;Epsi_Eri;0.00;Lissajous;0.09;NIKA;138.01;33.56;-2.20;-2.30;-1.20
2014-02-19.243;1;2014-02-19 15:37:29;2014-02-19 15:42:38;Epsi_Eri;0.00;Lissajous;0.09;NIKA;139.31;34.24;-2.20;-2.30;-1.20
2014-02-19.244;1;2014-02-19 15:42:40;2014-02-19 15:47:50;Epsi_Eri;0.00;Lissajous;0.09;NIKA;140.63;34.91;-2.20;-2.30;-1.20
2014-02-19.245;1;2014-02-19 15:47:52;2014-02-19 15:53:03;Epsi_Eri;0.00;Lissajous;0.06;NIKA;141.99;35.55;-2.20;-2.30;-1.20
2014-02-19.246;1;2014-02-19 16:24:28;2014-02-19 16:26:11;0336-019;0.00;track;0.12;NIKA;143.91;36.41;-2.20;-2.30;-1.20
2014-02-19.247;1;2014-02-19 16:26:14;2014-02-19 16:27:52;0336-019;0.00;Lissajous;0.12;NIKA;146.50;46.00;-2.20;-2.30;-1.20
2014-02-19.248;1;2014-02-19 16:30:00;2014-02-19 16:32:34;Epsi_Eri;0.00;Lissajous;0.00;NIKA;147.71;46.39;-1.00;-4.40;-1.20
2014-02-19.249;1;2014-02-19 16:35:16;2014-02-19 16:37:16;0420-014;0.00;track;0.14;NIKA;154.66;40.19;-1.00;-4.40;-1.20
2014-02-19.250;1;2014-02-19 16:37:18;2014-02-19 16:38:40;0420-014;0.00;Lissajous;0.14;NIKA;136.34;42.33;-1.00;-4.40;-1.20
2014-02-19.251;1;2014-02-19 16:38:45;2014-02-19 16:40:11;0420-014;0.00;Lissajous;0.14;NIKA;136.73;42.52;-1.00;-4.40;-1.80
