PROJECT: 240-13

SOURCE: G09-81106
VEL: 0.00 km/s
RA: 08:49:37
DEC: 00:14:55
J2000 

RX: NIKA

Scan ID;#Sub.;Start Time;End Time;Observation Type;Opacity;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-02-21.2;1;2014-02-21 00:10:40;2014-02-21 00:12:39;track;0.35;223.44;67.87;-5.00;0.20;-1.50
2014-02-21.3;1;2014-02-21 00:12:41;2014-02-21 00:17:51;Lissajous;0.35;208.05;49.52;-5.00;0.20;-1.50
2014-02-21.4;1;2014-02-21 00:17:53;2014-02-21 00:23:12;Lissajous;0.35;209.90;49.00;-5.00;0.20;-1.50
2014-02-21.5;1;2014-02-21 00:23:14;2014-02-21 00:28:24;Lissajous;0.35;211.74;48.45;-5.00;0.20;-1.50 
