PROJECT: 166-13

Scan ID;#Sub.;Start Time;End Time;Source Name;Velocity (km/s);Observation Type;Opacity;Receiver;Azimuth (deg);Elevation (deg);Pointing Correction X (");Pointing Correction Y (");Focus Correction zZ (mm)
2014-01-12.122;3;2014-01-12 10:10:20;2014-01-12 10:18:40;2200+420;0.00;calibrate;0.18;E090;291.76;47.35;0.00;-5.70;-1.85
2014-01-12.122;3;2014-01-12 10:10:20;2014-01-12 10:18:40;2200+420;0.00;calibrate;0.18;E230;291.76;47.35;0.00;-5.70;-1.85
2014-01-12.123;3;2014-01-12 10:19:39;2014-01-12 10:20:22;2200+420;0.00;calibrate;0.05;E090;61.61;39.21;0.00;-5.70;-1.85
2014-01-12.123;3;2014-01-12 10:19:39;2014-01-12 10:20:22;2200+420;0.00;calibrate;0.05;E230;61.61;39.21;0.00;-5.70;-1.85
2014-01-12.124;3;2014-01-12 10:21:36;2014-01-12 10:22:19;2200+420;0.00;calibrate;0.05;E090;61.75;39.56;0.00;-5.70;-1.85
2014-01-12.124;3;2014-01-12 10:21:36;2014-01-12 10:22:19;2200+420;0.00;calibrate;0.05;E230;61.75;39.56;0.00;-5.70;-1.85
2014-01-12.125;4;2014-01-12 10:22:20;2014-01-12 10:24:46;2200+420;0.00;pointing;0.05;E090;61.80;39.69;0.00;-5.70;-1.85
2014-01-12.125;4;2014-01-12 10:22:20;2014-01-12 10:24:46;2200+420;0.00;pointing;0.05;E230;61.80;39.69;0.00;-5.70;-1.85
2014-01-12.126;6;2014-01-12 10:25:58;2014-01-12 10:28:37;2200+420;0.00;focus;0.22;E090;62.07;40.33;-4.00;-4.00;-1.85
2014-01-12.126;6;2014-01-12 10:25:58;2014-01-12 10:28:37;2200+420;0.00;focus;0.22;E230;62.07;40.33;-4.00;-4.00;-1.85
2014-01-12.127;4;2014-01-12 10:29:11;2014-01-12 10:31:41;2200+420;0.00;pointing;0.22;E090;62.29;40.89;-4.00;-4.00;-2.60
2014-01-12.127;4;2014-01-12 10:29:11;2014-01-12 10:31:41;2200+420;0.00;pointing;0.22;E230;62.29;40.89;-4.00;-4.00;-2.60
2014-01-12.128;6;2014-01-12 10:33:13;2014-01-12 10:35:50;2200+420;0.00;focus;0.25;E090;62.58;41.61;-4.00;-4.00;-2.60
2014-01-12.128;6;2014-01-12 10:33:13;2014-01-12 10:35:50;2200+420;0.00;focus;0.25;E230;62.58;41.61;-4.00;-4.00;-2.60
2014-01-12.129;4;2014-01-12 10:40:49;2014-01-12 10:53:29;1928+738;0.00;pointing;0.32;E090;62.90;42.44;-4.00;-4.00;-2.55
2014-01-12.129;4;2014-01-12 10:40:49;2014-01-12 10:53:29;1928+738;0.00;pointing;0.32;E230;62.90;42.44;-4.00;-4.00;-2.55
2014-01-12.130;3;2014-01-12 11:00:34;2014-01-12 11:02:28;IC1396A-C0;-8.00;calibrate;0.27;E090;367.84;51.86;-3.00;-4.00;-2.55
2014-01-12.130;3;2014-01-12 11:00:34;2014-01-12 11:02:28;IC1396A-C0;-8.00;calibrate;0.27;E230;367.84;51.86;-3.00;-4.00;-2.55
2014-01-12.131;21;2014-01-12 11:02:32;2014-01-12 11:09:13;IC1396A-C0;-8.00;onTheFlyMap;0.27;E090;400.64;51.44;-3.00;-4.00;-2.55
2014-01-12.131;21;2014-01-12 11:02:32;2014-01-12 11:09:13;IC1396A-C0;-8.00;onTheFlyMap;0.27;E230;400.64;51.44;-3.00;-4.00;-2.55
2014-01-12.132;21;2014-01-12 11:09:18;2014-01-12 11:16:02;IC1396A-C0;-8.00;onTheFlyMap;0.25;E090;400.89;52.11;-3.00;-4.00;-2.55
2014-01-12.132;21;2014-01-12 11:09:18;2014-01-12 11:16:02;IC1396A-C0;-8.00;onTheFlyMap;0.25;E230;400.89;52.11;-3.00;-4.00;-2.55
2014-01-12.133;3;2014-01-12 11:16:04;2014-01-12 11:16:40;IC1396A-C0;-8.00;calibrate;0.22;E090;400.56;53.03;-3.00;-4.00;-2.55
2014-01-12.133;3;2014-01-12 11:16:04;2014-01-12 11:16:40;IC1396A-C0;-8.00;calibrate;0.22;E230;400.56;53.03;-3.00;-4.00;-2.55
2014-01-12.134;21;2014-01-12 11:16:43;2014-01-12 11:23:29;IC1396A-C0;-8.00;onTheFlyMap;0.22;E090;400.00;53.30;-3.00;-4.00;-2.55
2014-01-12.134;21;2014-01-12 11:16:43;2014-01-12 11:23:29;IC1396A-C0;-8.00;onTheFlyMap;0.22;E230;400.00;53.30;-3.00;-4.00;-2.55
2014-01-12.135;21;2014-01-12 11:23:32;2014-01-12 11:30:23;IC1396A-C0;-8.00;onTheFlyMap;0.17;E090;400.17;54.01;-3.00;-4.00;-2.55
2014-01-12.135;21;2014-01-12 11:23:32;2014-01-12 11:30:23;IC1396A-C0;-8.00;onTheFlyMap;0.17;E230;400.17;54.01;-3.00;-4.00;-2.55
2014-01-12.136;3;2014-01-12 11:31:03;2014-01-12 11:31:38;IC1396A-C0;-8.00;calibrate;0.29;E090;399.14;55.15;-3.00;-4.00;-2.55
2014-01-12.136;3;2014-01-12 11:31:03;2014-01-12 11:31:38;IC1396A-C0;-8.00;calibrate;0.29;E230;399.14;55.15;-3.00;-4.00;-2.55
2014-01-12.137;21;2014-01-12 11:31:40;2014-01-12 11:38:32;IC1396A-C0;-8.00;onTheFlyMap;0.29;E090;399.09;55.23;-3.00;-4.00;-2.55
2014-01-12.137;21;2014-01-12 11:31:40;2014-01-12 11:38:32;IC1396A-C0;-8.00;onTheFlyMap;0.29;E230;399.09;55.23;-3.00;-4.00;-2.55
2014-01-12.138;21;2014-01-12 11:38:34;2014-01-12 11:45:24;IC1396A-C0;-8.00;onTheFlyMap;0.23;E090;399.08;56.04;-3.00;-4.00;-2.55
2014-01-12.138;21;2014-01-12 11:38:34;2014-01-12 11:45:24;IC1396A-C0;-8.00;onTheFlyMap;0.23;E230;399.08;56.04;-3.00;-4.00;-2.55
2014-01-12.139;3;2014-01-12 11:45:26;2014-01-12 11:46:00;IC1396A-C0;-8.00;calibrate;0.28;E090;398.62;56.83;-3.00;-4.00;-2.55
2014-01-12.139;3;2014-01-12 11:45:26;2014-01-12 11:46:00;IC1396A-C0;-8.00;calibrate;0.28;E230;398.62;56.83;-3.00;-4.00;-2.55
2014-01-12.140;21;2014-01-12 11:46:04;2014-01-12 11:52:55;IC1396A-C0;-8.00;onTheFlyMap;0.28;E090;397.95;57.05;-3.00;-4.00;-2.55
2014-01-12.140;21;2014-01-12 11:46:04;2014-01-12 11:52:55;IC1396A-C0;-8.00;onTheFlyMap;0.28;E230;397.95;57.05;-3.00;-4.00;-2.55
2014-01-12.141;21;2014-01-12 11:52:57;2014-01-12 11:59:46;IC1396A-C0;-8.00;onTheFlyMap;0.32;E090;397.97;57.75;-3.00;-4.00;-2.55
2014-01-12.141;21;2014-01-12 11:52:57;2014-01-12 11:59:46;IC1396A-C0;-8.00;onTheFlyMap;0.32;E230;397.97;57.75;-3.00;-4.00;-2.55
2014-01-12.142;3;2014-01-12 11:59:49;2014-01-12 12:00:25;IC1396A-C0;-8.00;calibrate;0.25;E090;397.24;58.63;-3.00;-4.00;-2.55
2014-01-12.142;3;2014-01-12 11:59:49;2014-01-12 12:00:25;IC1396A-C0;-8.00;calibrate;0.25;E230;397.24;58.63;-3.00;-4.00;-2.55
2014-01-12.143;21;2014-01-12 12:00:28;2014-01-12 12:07:17;IC1396A-C0;-8.00;onTheFlyMap;0.25;E090;396.49;58.82;-3.00;-4.00;-2.55
2014-01-12.143;21;2014-01-12 12:00:28;2014-01-12 12:07:17;IC1396A-C0;-8.00;onTheFlyMap;0.25;E230;396.49;58.82;-3.00;-4.00;-2.55
2014-01-12.144;21;2014-01-12 12:07:20;2014-01-12 12:14:10;IC1396A-C0;-8.00;onTheFlyMap;0.32;E090;396.39;59.54;-3.00;-4.00;-2.55
2014-01-12.144;21;2014-01-12 12:07:20;2014-01-12 12:14:10;IC1396A-C0;-8.00;onTheFlyMap;0.32;E230;396.39;59.54;-3.00;-4.00;-2.55
2014-01-12.145;3;2014-01-12 12:14:13;2014-01-12 12:14:46;IC1396A-C0;-8.00;calibrate;0.35;E090;395.52;60.36;-3.00;-4.00;-2.55
2014-01-12.145;3;2014-01-12 12:14:13;2014-01-12 12:14:46;IC1396A-C0;-8.00;calibrate;0.35;E230;395.52;60.36;-3.00;-4.00;-2.55
2014-01-12.146;21;2014-01-12 12:14:52;2014-01-12 12:21:45;IC1396A-C0;-8.00;onTheFlyMap;0.35;E090;394.70;60.52;-3.00;-4.00;-2.55
2014-01-12.146;21;2014-01-12 12:14:52;2014-01-12 12:21:45;IC1396A-C0;-8.00;onTheFlyMap;0.35;E230;394.70;60.52;-3.00;-4.00;-2.55
2014-01-12.148;3;2014-01-12 12:23:53;2014-01-12 12:24:42;IC1396A-C0;-8.00;calibrate;0.22;E090;393.44;61.49;-3.00;-4.00;-2.55
2014-01-12.148;3;2014-01-12 12:23:53;2014-01-12 12:24:42;IC1396A-C0;-8.00;calibrate;0.22;E230;393.44;61.49;-3.00;-4.00;-2.55
2014-01-12.149;3;2014-01-12 12:31:46;2014-01-12 12:32:38;IC1396A-C0;-8.00;calibrate;0.15;E090;392.93;61.87;-3.00;-4.00;-2.55
2014-01-12.149;3;2014-01-12 12:31:46;2014-01-12 12:32:38;IC1396A-C0;-8.00;calibrate;0.15;E230;392.93;61.87;-3.00;-4.00;-2.55
2014-01-12.150;3;2014-01-12 12:36:29;2014-01-12 12:37:20;IC1396A-C0;-8.00;calibrate;0.37;E090;391.59;62.73;-3.00;-4.00;-2.55
2014-01-12.150;3;2014-01-12 12:36:29;2014-01-12 12:37:20;IC1396A-C0;-8.00;calibrate;0.37;E230;391.59;62.73;-3.00;-4.00;-2.55
2014-01-12.151;3;2014-01-12 12:38:24;2014-01-12 12:39:06;IC1396A-C0;-8.00;calibrate;0.35;E090;390.92;63.12;-3.00;-4.00;-2.55
2014-01-12.151;3;2014-01-12 12:38:24;2014-01-12 12:39:06;IC1396A-C0;-8.00;calibrate;0.35;E230;390.92;63.12;-3.00;-4.00;-2.55
2014-01-12.152;3;2014-01-12 12:39:07;2014-01-12 12:40:07;2037+511;-8.00;calibrate;0.35;E090;390.79;63.20;-3.00;-4.00;-2.55
2014-01-12.152;3;2014-01-12 12:39:07;2014-01-12 12:40:07;2037+511;-8.00;calibrate;0.35;E230;390.79;63.20;-3.00;-4.00;-2.55
2014-01-12.153;4;2014-01-12 12:40:10;2014-01-12 12:42:37;2037+511;-8.00;pointing;0.35;E090;384.69;73.54;-3.00;-4.00;-2.55
2014-01-12.153;4;2014-01-12 12:40:10;2014-01-12 12:42:37;2037+511;-8.00;pointing;0.35;E230;384.69;73.54;-3.00;-4.00;-2.55
2014-01-12.154;3;2014-01-12 12:44:42;2014-01-12 12:46:01;IC1396A-C0;-8.00;calibrate;0.35;E090;382.53;73.91;1.00;-1.00;-2.55
2014-01-12.154;3;2014-01-12 12:44:42;2014-01-12 12:46:01;IC1396A-C0;-8.00;calibrate;0.35;E230;382.53;73.91;1.00;-1.00;-2.55
2014-01-12.155;21;2014-01-12 12:46:05;2014-01-12 12:53:00;IC1396A-C0;-8.00;onTheFlyMap;0.28;E090;389.44;63.91;1.00;-1.00;-2.55
2014-01-12.155;21;2014-01-12 12:46:05;2014-01-12 12:53:00;IC1396A-C0;-8.00;onTheFlyMap;0.28;E230;389.44;63.91;1.00;-1.00;-2.55
2014-01-12.156;21;2014-01-12 12:53:04;2014-01-12 13:00:02;IC1396A-C0;-8.00;onTheFlyMap;0.27;E090;388.88;64.59;1.00;-1.00;-2.55
2014-01-12.156;21;2014-01-12 12:53:04;2014-01-12 13:00:02;IC1396A-C0;-8.00;onTheFlyMap;0.27;E230;388.88;64.59;1.00;-1.00;-2.55
2014-01-12.157;3;2014-01-12 13:00:05;2014-01-12 13:00:40;IC1396A-C0;-8.00;calibrate;0.99;E090;387.30;65.26;1.00;-1.00;-2.55
2014-01-12.157;3;2014-01-12 13:00:05;2014-01-12 13:00:40;IC1396A-C0;-8.00;calibrate;0.99;E230;387.30;65.26;1.00;-1.00;-2.55
2014-01-12.158;21;2014-01-12 13:00:42;2014-01-12 13:07:40;IC1396A-C0;-8.00;onTheFlyMap;0.99;E090;386.22;65.30;1.00;-1.00;-2.55
2014-01-12.158;21;2014-01-12 13:00:42;2014-01-12 13:07:40;IC1396A-C0;-8.00;onTheFlyMap;0.99;E230;386.22;65.30;1.00;-1.00;-2.55
2014-01-12.159;21;2014-01-12 13:07:41;2014-01-12 13:14:37;IC1396A-C0;-8.00;onTheFlyMap;0.30;E090;385.46;65.95;1.00;-1.00;-2.55
2014-01-12.159;21;2014-01-12 13:07:41;2014-01-12 13:14:37;IC1396A-C0;-8.00;onTheFlyMap;0.30;E230;385.46;65.95;1.00;-1.00;-2.55
2014-01-12.160;3;2014-01-12 13:14:40;2014-01-12 13:15:16;IC1396A-C0;-8.00;calibrate;0.32;E090;383.64;66.55;1.00;-1.00;-2.55
2014-01-12.160;3;2014-01-12 13:14:40;2014-01-12 13:15:16;IC1396A-C0;-8.00;calibrate;0.32;E230;383.64;66.55;1.00;-1.00;-2.55
2014-01-12.161;21;2014-01-12 13:15:19;2014-01-12 13:22:16;IC1396A-C0;-8.00;onTheFlyMap;0.32;E090;382.48;66.55;1.00;-1.00;-2.55
2014-01-12.161;21;2014-01-12 13:15:19;2014-01-12 13:22:16;IC1396A-C0;-8.00;onTheFlyMap;0.32;E230;382.48;66.55;1.00;-1.00;-2.55
2014-01-12.162;21;2014-01-12 13:22:20;2014-01-12 13:29:18;IC1396A-C0;-8.00;onTheFlyMap;0.26;E090;381.47;67.13;1.00;-1.00;-2.55
2014-01-12.162;21;2014-01-12 13:22:20;2014-01-12 13:29:18;IC1396A-C0;-8.00;onTheFlyMap;0.26;E230;381.47;67.13;1.00;-1.00;-2.55
2014-01-12.163;3;2014-01-12 13:29:20;2014-01-12 13:29:57;IC1396A-C0;-8.00;calibrate;0.32;E090;379.41;67.66;1.00;-1.00;-2.55
2014-01-12.163;3;2014-01-12 13:29:20;2014-01-12 13:29:57;IC1396A-C0;-8.00;calibrate;0.32;E230;379.41;67.66;1.00;-1.00;-2.55
2014-01-12.164;21;2014-01-12 13:29:59;2014-01-12 13:36:57;IC1396A-C0;-8.00;onTheFlyMap;0.32;E090;378.22;67.60;1.00;-1.00;-2.55
2014-01-12.164;21;2014-01-12 13:29:59;2014-01-12 13:36:57;IC1396A-C0;-8.00;onTheFlyMap;0.32;E230;378.22;67.60;1.00;-1.00;-2.55
2014-01-12.165;21;2014-01-12 13:36:59;2014-01-12 13:43:59;IC1396A-C0;-8.00;onTheFlyMap;0.28;E090;376.99;68.15;1.00;-1.00;-2.55
2014-01-12.165;21;2014-01-12 13:36:59;2014-01-12 13:43:59;IC1396A-C0;-8.00;onTheFlyMap;0.28;E230;376.99;68.15;1.00;-1.00;-2.55
2014-01-12.166;3;2014-01-12 13:44:01;2014-01-12 13:44:35;IC1396A-C0;-8.00;calibrate;0.29;E090;374.65;68.55;1.00;-1.00;-2.55
2014-01-12.166;3;2014-01-12 13:44:01;2014-01-12 13:44:35;IC1396A-C0;-8.00;calibrate;0.29;E230;374.65;68.55;1.00;-1.00;-2.55
2014-01-12.167;21;2014-01-12 13:44:38;2014-01-12 13:51:35;IC1396A-C0;-8.00;onTheFlyMap;0.29;E090;373.44;68.43;1.00;-1.00;-2.55
2014-01-12.167;21;2014-01-12 13:44:38;2014-01-12 13:51:35;IC1396A-C0;-8.00;onTheFlyMap;0.29;E230;373.44;68.43;1.00;-1.00;-2.55
2014-01-12.168;21;2014-01-12 13:51:37;2014-01-12 13:58:36;IC1396A-C0;-8.00;onTheFlyMap;0.27;E090;371.99;68.92;1.00;-1.00;-2.55
2014-01-12.168;21;2014-01-12 13:51:37;2014-01-12 13:58:36;IC1396A-C0;-8.00;onTheFlyMap;0.27;E230;371.99;68.92;1.00;-1.00;-2.55
2014-01-12.169;3;2014-01-12 13:58:38;2014-01-12 13:59:14;IC1396A-C0;-8.00;calibrate;0.33;E090;369.41;69.17;1.00;-1.00;-2.55
2014-01-12.169;3;2014-01-12 13:58:38;2014-01-12 13:59:14;IC1396A-C0;-8.00;calibrate;0.33;E230;369.41;69.17;1.00;-1.00;-2.55
2014-01-12.170;21;2014-01-12 13:59:18;2014-01-12 14:06:14;IC1396A-C0;-8.00;onTheFlyMap;0.33;E090;368.24;69.02;1.00;-1.00;-2.55
2014-01-12.170;21;2014-01-12 13:59:18;2014-01-12 14:06:14;IC1396A-C0;-8.00;onTheFlyMap;0.33;E230;368.24;69.02;1.00;-1.00;-2.55
2014-01-12.171;21;2014-01-12 14:06:16;2014-01-12 14:13:13;IC1396A-C0;-8.00;onTheFlyMap;0.37;E090;366.58;69.43;1.00;-1.00;-2.55
2014-01-12.171;21;2014-01-12 14:06:16;2014-01-12 14:13:13;IC1396A-C0;-8.00;onTheFlyMap;0.37;E230;366.58;69.43;1.00;-1.00;-2.55
2014-01-12.172;3;2014-01-12 14:13:16;2014-01-12 14:13:49;IC1396A-C0;-8.00;calibrate;0.40;E090;363.78;69.46;1.00;-1.00;-2.55
2014-01-12.172;3;2014-01-12 14:13:16;2014-01-12 14:13:49;IC1396A-C0;-8.00;calibrate;0.40;E230;363.78;69.46;1.00;-1.00;-2.55
2014-01-12.173;21;2014-01-12 14:13:53;2014-01-12 14:20:46;IC1396A-C0;-8.00;onTheFlyMap;0.40;E090;362.80;69.34;1.00;-1.00;-2.55
2014-01-12.173;21;2014-01-12 14:13:53;2014-01-12 14:20:46;IC1396A-C0;-8.00;onTheFlyMap;0.40;E230;362.80;69.34;1.00;-1.00;-2.55
2014-01-12.174;21;2014-01-12 14:20:50;2014-01-12 14:27:42;IC1396A-C0;-8.00;onTheFlyMap;0.39;E090;360.97;69.66;1.00;-1.00;-2.55
2014-01-12.174;21;2014-01-12 14:20:50;2014-01-12 14:27:42;IC1396A-C0;-8.00;onTheFlyMap;0.39;E230;360.97;69.66;1.00;-1.00;-2.55
2014-01-12.175;3;2014-01-12 14:27:44;2014-01-12 14:28:20;IC1396A-C0;-8.00;calibrate;0.45;E090;358.28;69.67;1.00;-1.00;-2.55
2014-01-12.175;3;2014-01-12 14:27:44;2014-01-12 14:28:20;IC1396A-C0;-8.00;calibrate;0.45;E230;358.28;69.67;1.00;-1.00;-2.55
2014-01-12.176;21;2014-01-12 14:28:22;2014-01-12 14:35:12;IC1396A-C0;-8.00;onTheFlyMap;0.42;E090;357.27;69.38;1.00;-1.00;-2.55
2014-01-12.176;21;2014-01-12 14:28:22;2014-01-12 14:35:12;IC1396A-C0;-8.00;onTheFlyMap;0.42;E230;357.27;69.38;1.00;-1.00;-2.55
2014-01-12.177;21;2014-01-12 14:35:15;2014-01-12 14:42:08;IC1396A-C0;-8.00;onTheFlyMap;0.40;E090;355.32;69.58;1.00;-1.00;-2.55
2014-01-12.177;21;2014-01-12 14:35:15;2014-01-12 14:42:08;IC1396A-C0;-8.00;onTheFlyMap;0.40;E230;355.32;69.58;1.00;-1.00;-2.55
2014-01-12.178;3;2014-01-12 14:42:09;2014-01-12 14:42:43;IC1396A-C0;-8.00;calibrate;0.45;E090;352.69;69.48;1.00;-1.00;-2.55
2014-01-12.178;3;2014-01-12 14:42:09;2014-01-12 14:42:43;IC1396A-C0;-8.00;calibrate;0.45;E230;352.69;69.48;1.00;-1.00;-2.55
2014-01-12.179;21;2014-01-12 14:42:47;2014-01-12 14:49:31;IC1396A-C0;-8.00;onTheFlyMap;0.45;E090;351.82;69.14;1.00;-1.00;-2.55
2014-01-12.179;21;2014-01-12 14:42:47;2014-01-12 14:49:31;IC1396A-C0;-8.00;onTheFlyMap;0.45;E230;351.82;69.14;1.00;-1.00;-2.55
